surname,first_name,Name,Recognized_CLIP via Disco,DD_study,Recognized_Stable V1,"SD V1
study",Tags,"Year of Death 
( if living)",User,sgl imgs,cards folder,batch #
Doyle,Richard,Richard Doyle,Yes,x,Yes,x,"detailed, scene",,proximasan,x,x,6
Doyle,Tim,Tim Doyle,Yes,x,Yes,x,"comics, detailed,",,sureailabs,x,x,5
Drepina,Natalia,Natalia Drepina,Yes,x,Yes,x,"photography, portrait, dark",,proximasan,x,x,13
Driskell,David,David Driskell,Yes,x,Yes,x,"melanin, abstract, colorful",2020,proximasan,x,x,10
Druillet,Philippe,Philippe Druillet,Yes,x,Yes,x,"comics, detailed, dark",,sureailabs,x,x,4
Drysdale,TJ,TJ Drysdale,Yes,x,Yes,x,"photography, fantasy, landscape",,proximasan,x,x,13
Dubois-Pillet,Albert,Albert Dubois-Pillet,Yes,x,Yes,x,"impressionism, pointillism",1890,sureailabs,x,x,14
Dubuffet,Jean,Jean Dubuffet,Yes,x,Yes,x,"high contrast, abstract, expressionism,",1985,sureailabs,x,x,8
Duccio,, Duccio,Yes,x,Yes,x,renaissance,1319,sureailabs,x,x,14
Duchamp,Marcel,Marcel Duchamp,Yes,x,Yes,x,"surrealism, cubism, fauvism, expressionism, impressionism",1968,KyrickYoung,x,x,1
Duchamp-Villon,Raymond,Raymond Duchamp-Villon,Yes,x,Yes,x,"sculpture, cubism",1918,sureailabs,x,x,10
Ducreux,Joseph,Joseph Ducreux,Yes,x,Yes,x,"character, portrait",1802,sureailabs,x,x,5
Dufy,Raoul,Raoul Dufy,Yes,x,Yes,x,"fauvism,",1953,sureailabs,x,x,14
Dulac,Edmund,Edmund Dulac,Yes,x,Yes,x,"whimsical, art nouveau",1953,proximasan,x,x,1
Dumas,Marlene,Marlene Dumas,Yes,x,Yes,x,"watercolor, portrait",,sureailabs,x,x,14
Dunbar,Evelyn,Evelyn Dunbar,Yes,x,Yes,x,"scene, landscape",1960,sureailabs,x,x,15
Duncan,John,John Duncan,Yes,x,Yes,x,"symbolism, romanticism",,sureailabs,x,x,8
Duncanson,Robert S.,Robert S. Duncanson,Yes,x,Yes,x,"landscape, romanticism, realism",1972,sureailabs,x,x,10
Dupain,Max,Max Dupain,Yes,x,Yes,x,"photography, high contrast",1992,sureailabs,x,x,9
Durand,Asher Brown,Asher Brown Durand,Yes,x,Yes,x,"landscape, luminism, romanticism",1886,EErratica,x,x,2
Dürer,Albrecht,Albrecht Dürer,Yes,x,Yes,x,"renaissance, detailed, scene",1528,KyrickYoung,x,x,1
Durgin,Bill,Bill Durgin,Yes,x,Yes,x,"sculpture, nudity",,sureailabs,x,x,15
Dwyer,Charles,Charles Dwyer,Yes,x,Yes,x,"watercolor, messy, portrait",,sureailabs,x,x,15
Dyce,William,William Dyce,Yes,x,Yes,x,"portrait, romanticism, scene",1864,proximasan,x,x,13
Dyer,Chris,Chris Dyer,Yes,x,Yes,x,"psychedelic, vibrant, colorful, detailed",,sureailabs,x,x,15
Eakins,Thomas,Thomas Eakins,Yes,x,Yes,x,"realism, impressionism, scene",1916,sureailabs,x,x,7
Eames,Ray,Ray Eames,Yes,x,Yes,x,"bauhaus, graphic design, architecture",1988,sureailabs,x,x,13
Eardley,Joan,Joan Eardley,Yes,x,Yes,x,"expressionism, messy",1963,sureailabs,x,x,13
Earle,Eyvind,Eyvind Earle,Yes,x,Yes,x,"magical realism, storybook realism, fantasy, high contrast",2000,proximasan,x,x,1
Earles,Amy,Amy Earles,Yes,x,Yes,x,"watercolor, character, whimsical, dark",,sureailabs,x,x,13
Earley,Lori,Lori Earley,Yes,x,Yes,x,"portrait, figurativism, surrealism",,proximasan,x,x,10
Easley,Jeff,Jeff Easley,Yes,x,Yes,x,"fantasy,",,sureailabs,x,x,2
Eastman,Michael,Michael Eastman,Yes,x,Yes,x,"scene, photography, architecture",,sureailabs,x,x,13
Easton,Timothy,Timothy Easton,Yes,x,Yes,x,"landscape, impressionism",,proximasan,x,x,13
Echelman,Janet,Janet Echelman,Yes,x,Yes,x,"installation, light, architecture, sculpture",,sureailabs,x,x,13
Edelfelt,Albert,Albert Edelfelt,Yes,x,Yes,x,"realism, impressionism",1905,proximasan,x,x,13
Edgerton,Harold,Harold Edgerton,Yes,x,Yes,x,"photography, monochromatic",1990,sureailabs,x,x,11
Edlin,Tyler,Tyler Edlin,Yes,x,Yes,x,"fantasy, digital, landscape, scene",,KyrickYoung,x,x,2
Edmiston,Jason,Jason Edmiston,Yes,x,Yes,x,"fantasy, horror, character, portrait",,sureailabs,x,x,5
Edwards,Les,Les Edwards,Yes,x,Yes,x,"sci-fi, horror, fantasy",,sureailabs,x,x,7
Eek,Piet Hein,Piet Hein Eek,Yes,x,Yes,x,"angular, messy, sculpture, installation",,proximasan,x,x,10
Eggleston,William,William Eggleston,Yes,x,Yes,x,"streetscape, pop art, photography",,sureailabs,x,x,11
Eggleton,Bob,Bob Eggleton,Yes,x,Yes,x,"sci-fi, fantasy, horror",,KyrickYoung,x,x,1
Eisenman,Nicole,Nicole Eisenman,Yes,x,Yes,x,"figurativism, scene",,sureailabs,x,x,13
Eisenman,Peter,Peter Eisenman,Yes,x,Yes,x,"architecture, angular",,sureailabs,x,x,11
Eisenstaedt,Alfred,Alfred Eisenstaedt,Yes,x,Yes,x,"photography, monochromatic, portrait",1995,sureailabs,x,x,11
Eisner,Will,Will Eisner,Yes,x,Yes,x,"comics, cartoon",2005,sureailabs,x,x,9
Ejsing,Jesper,Jesper Ejsing,Yes,x,Yes,x,fantasy,,KyrickYoung,x,x,2
El Greco,, El Greco,Yes,x,Yes,x,renaissance,1614,sureailabs,x,x,3
Elgort,Arthur,Arthur Elgort,Yes,x,Yes,x,"photography, character, scene, monochromatic",,sureailabs,x,x,8
Eliasson,Olafur,Olafur Eliasson,Yes,x,Yes,x,"installation, light",,sureailabs,x,x,7
Ellger,Christine,Christine Ellger,Yes,x,Yes,x,"fantasy, magical realism",,sureailabs,x,x,11
Ellis,Dean,Dean Ellis,Yes,x,Yes,x,"sci-fi, vibrant",2009,sureailabs,x,x,3
Ellis,Warren,Warren Ellis,Yes,x,Yes,x,"comics, scene, character",,sureailabs,x,x,9
Elmore,Larry,Larry Elmore,Yes,x,Yes,x,"fantasy, scene",,KyrickYoung,x,x,1
Elorza,Joseba,Joseba Elorza,Yes,x,Yes,x,"photography, surrealism, collage, sci-fi",,sureailabs,x,x,11
Elsheimer,Adam,Adam Elsheimer,Yes,x,Yes,x,"baroque, renaissance, romanticism",1610,sureailabs,x,x,12
Elson,Peter,Peter Elson,Yes,x,Yes,x,"sci-fi, space",1998,sureailabs,x,x,3
Elvgren,Gil,Gil Elvgren,Yes,x,Yes,x,"portrait, character, scene, art nouveau",1980,sureailabs,x,x,12
Emin,Tracey,Tracey Emin,Yes,x,No,x,"messy, abstract",,sureailabs,x,x,10
Emshwiller,Ed,Ed Emshwiller,Yes,x,Yes,x,"sci-fi, scene",1990,KyrickYoung,x,x,1
Enckell,Magnus,Magnus Enckell,Yes,x,Yes,x,"impressionism, symbolism",1925,sureailabs,x,x,9
Endel,Ingrid,Ingrid Endel,Yes,x,,,,,sureailabs,x,x,14
Endresen,Daria,Daria Endresen,Yes,x,Yes,x,"photography, high contrast, surrealism",,proximasan,x,x,13
Eng,Kilian,Kilian Eng,Yes,x,Yes,x,"digital, landscape, detailed, sci-fi, fantasy",,sureailabs,x,x,5
Engle,Jason A.,Jason A. Engle,Yes,x,Yes,x,"fantasy, sci-fi, dark",,KyrickYoung,x,x,2
Enjolras,Delphin,Delphin Enjolras,Yes,x,Yes,x,"scene, watercolor, romanticism",1945,sureailabs,x,x,12
Enrich,Victor,Victor Enrich,Yes,x,Yes,x,"photography, architecture, surrealism",,sureailabs,x,x,12
Ensor,James,James Ensor,Yes,x,Yes,x,"expressionism, symbolism",1949,sureailabs,x,x,3
Epting,Steve,Steve Epting,Yes,x,Yes,x,"comics, high contrast",,proximasan,x,x,12
Erlich,Leandro,Leandro Erlich,Yes,x,Yes,x,"photography, architecture, surrealism",,sureailabs,x,x,12
Ernst,Max,Max Ernst,Yes,x,Yes,x,"surrealism, expressionism",1979,sureailabs,x,x,2
Ernst,Rudolf,Rudolf Ernst,Yes,x,Yes,x,"romanticism, scene",1932,sureailabs,x,x,12
Errazuriz,Sebastian,Sebastian Errazuriz,Yes,x,Yes,x,"high contrast, angular, installation, sculpture",,proximasan,x,x,10
Erwitt,Elliott,Elliott Erwitt,Yes,x,Yes,x,"photography, monochromatic",,sureailabs,x,x,5
Escher,M.C.,M.C. Escher,Yes,x,Yes,x,"angular, high contrast, surrealism",1972,EErratica,x,x,1
Espedal,Truls,Truls Espedal,Yes,x,Yes,x,"photorealism, surrealism",,sureailabs,x,x,12
Etchells,Tim,Tim Etchells,Yes,x,Yes,x,"installation, light",,sureailabs,x,x,12
Etty,William,William Etty,Yes,x,Yes,x,"nudity, romanticism, scene",1849,sureailabs,x,x,10
Eurich,Richard,Richard Eurich,Yes,x,Yes,x,"landscape, seascape, romanticism",1992,proximasan,x,x,7
Evans,Cerith Wyn,Cerith Wyn Evans,Yes,x,Yes,x,"sculpture, installation, light",,sureailabs,x,x,12
Evans,Walker,Walker Evans,Yes,x,Yes,x,"photography, monochromatic, realism",1975,sureailabs,x,x,12
Everhart,Tom,Tom Everhart,Yes,x,,,,,sureailabs,x,x,14
Eversen,Adrianus,Adrianus Eversen,Yes,x,Yes,x,"cityscape, romanticism",1897,sureailabs,x,x,13
Fabry,Glenn,Glenn Fabry,Yes,x,Yes,x,"fantasy, sci-fi, comics",,sureailabs,x,x,10
Fadeev,Anton,Anton Fadeev,Yes,x,Yes,x,"landscape, digital",,sureailabs,x,x,5
Fairey,Shepard,Shepard Fairey,Yes,x,Yes,x,"high contrast, graphic design",,sureailabs,x,x,6
Fairhurst,Andy,Andy Fairhurst,Yes,x,Yes,x,"sci-fi, fantasy, horror, digital",,proximasan,x,x,13
Falero,Luis Ricardo,Luis Ricardo Falero,Yes,x,Yes,x,"figurativism, fantasy, nudity",1896,proximasan,x,x,13
Falter,John Philip,John Philip Falter,Yes,x,Yes,x,"clean, scene, realism",1982,proximasan,x,x,1
Fantin-Latour,Henri,Henri Fantin-Latour,Yes,x,Yes,x,"flowers, realism, symbolism",1904,sureailabs,x,x,10
Farquharson,Joseph,Joseph Farquharson,Yes,x,Yes,x,landscape,1935,proximasan,x,x,12
Faulkner,Iain,Iain Faulkner,Yes,x,Yes,x,"monochromatic, scene, figurativism",,sureailabs,x,x,8
Faurer,Louis,Louis Faurer,Yes,x,Yes,x,"photography, moonochromatic",2001,sureailabs,x,x,14
Faust,Lauren,Lauren Faust,Yes,x,Yes,x,"cartoon, anime, character",,sureailabs,x,x,12
Fedden,Mary,Mary Fedden,Yes,x,Yes,x,"still life, flowers, primitivism",2012,sureailabs,x,x,12
Fehn,Sverre,Sverre Fehn,Yes,x,Yes,x,architecture,2009,sureailabs,x,x,12
Feininger,Lyonel,Lyonel Feininger,Yes,x,Yes,x,"expressionism, angular, cubism",1953,sureailabs,x,x,4
Feitelson,Lorser,Lorser Feitelson,Yes,x,Yes,x,"surrealism, abstract, angular, flat colors",1978,sureailabs,x,x,12
Feldstein,Al,Al Feldstein,Yes,x,Yes,x,"comics, detailed, scene",2014,proximasan,x,x,10
Fenton,Joe,Joe Fenton,Yes,x,Yes,x,"dark, whimsical, surrealism, detailed, monochromatic, high contrast",,proximasan,x,x,6
Ferez,Andrew,Andrew Ferez,Yes,x,Yes,x,"surrealism, fantasy, detailed",,sureailabs,x,x,8
Ferri,Roberto,Roberto Ferri,Yes,x,Yes,x,"baroque, romanticism, nudity",,sureailabs,x,x,5
Ferris,Emil,Emil Ferris,Yes,x,No,x,"cartoon, horror",,sureailabs,x,x,9
Ferriss,Hugh,Hugh Ferriss,Yes,x,Yes,x,"cityscape, architecture, art deco",1962,KyrickYoung,x,x,2
Fildes,Luke,Luke Fildes,Yes,x,Yes,x,"realism, scene",1927,sureailabs,x,x,14
Finch,David,David Finch,Yes,x,Yes,x,"detailed, comics, fantasy",,sureailabs,x,x,7
Fini,Leonor,Leonor Fini,Yes,x,Yes,x,surrealism,1996,proximasan,x,x,13
Fink,Callie,Callie Fink,Yes,x,No,x,"psychedelic, vibrant, colorful, portrait",,sureailabs,x,x,13
Fink,Larry,Larry Fink,Yes,x,Yes,x,"photography, monochromatic",,sureailabs,x,x,13
Finlay,Virgil,Virgil Finlay,Yes,x,Yes,x,"comics, sci-fi, fantasy, horror, dark, high contrast",1971,sureailabs,x,x,3
Finnstark,Anato,Anato Finnstark,Yes,x,Yes,x,"digital, fantasy, scene",,proximasan,x,x,10
Finster,Howard,Howard Finster,Yes,x,Yes,x,"primitivism, portrait",2001,sureailabs,x,x,5
Fischer,Anton Otto,Anton Otto Fischer,Yes,x,Yes,x,"character, scene",1962,KyrickYoung,x,x,2
Fischer,Paul Gustav,Paul Gustav Fischer,Yes,x,Yes,x,"character, landscape, scene",1934,sureailabs,x,x,6
Fischinger,Oskar,Oskar Fischinger,Yes,x,Yes,x,"abstract, vibrant, colorful",1967,sureailabs,x,x,10
Fischl,Eric,Eric Fischl,Yes,x,Yes,x,"realism, expressionism, scene",,sureailabs,x,x,10
Fisher,Samuel Melton,Samuel Melton Fisher,Yes,x,Yes,x,"impressionism, portrait, flowers, scene",1939,proximasan,x,x,10
Fitzgerald,John Anster,John Anster Fitzgerald,Yes,x,Yes,x,"detailed, fantasy, whimsical, scene",1906,sureailabs,x,x,8
Fitzpatrick,Tony,Tony Fitzpatrick,Yes,x,Yes,x,"collage, vibrant, detailed",,sureailabs,x,x,13
Flandrin,Hippolyte,Hippolyte Flandrin,Yes,x,Yes,x,"renaissance, romanticism, baroque, portrait",1864,proximasan,x,x,12
Flavin,Dan,Dan Flavin,Yes,x,Yes,x,"installation, light",1996,sureailabs,x,x,6
Fleischer,Max,Max Fleischer,Yes,x,Yes,x,cartoon,1972,sureailabs,x,x,12
Flinck,Govaert,Govaert Flinck,Yes,x,Yes,x,"baroque, portrait,",1660,proximasan,x,x,13
Flint,Alex Russell,Alex Russell Flint,Yes,x,Yes,x,"portrait, scene, realism, figurativism",,sureailabs,x,x,13
Flint,William Russell,William Russell Flint,Yes,x,Yes,x,"watercolor, scene, nudity",1969,proximasan,x,x,12
Flore,Maia,Maia Flore,Yes,x,Yes,x,"photography, whimsical, scene",,sureailabs,x,x,14
Floris,Frans,Frans Floris,Yes,x,Yes,x,renaissance,1570,sureailabs,x,x,13
Foglio,Kaja,Kaja Foglio,Yes,x,Yes,x,"whimsical, cartoon",,sureailabs,x,x,5
Foglio,Phil,Phil Foglio,Yes,x,Yes,x,"whimsical, cartoon",,sureailabs,x,x,5
Fonssagrives,Fernand,Fernand Fonssagrives,Yes,x,Yes,x,"photography, monochromatic, high contrast",2003,proximasan,x,x,12
Fontana,Franco,Franco Fontana,Yes,x,Yes,x,"abstract, landscape, vibrant",,proximasan,x,x,11
Fontana,Lavinia,Lavinia Fontana,Yes,x,Yes,x,"renaissance, portrait",1614,sureailabs,x,x,12
Fontana,Lucio,Lucio Fontana,Yes,x,Yes,x,"abstract, sculpture, vibrant",1968,sureailabs,x,x,11
Forain,Jean-Louis,Jean-Louis Forain,Yes,x,Yes,x,"impressionism, expressionism, scene",1931,sureailabs,x,x,11
Forbes,Stanhope,Stanhope Forbes,Yes,x,Yes,x,"landscape, scene, impressionism",1947,sureailabs,x,x,12
Ford,Henry Justice,Henry Justice Ford,Yes,x,Yes,x,"art nouveau, romanticism, detailed",1941,sureailabs,x,x,10
Fortescue-Brickdale,Eleanor,Eleanor Fortescue-Brickdale,Yes,x,Yes,x,"romanticism, scene, character",1945,sureailabs,x,x,12
Foss,Chris,Chris Foss,Yes,x,Yes,x,"vibrant, sci-fi, space",,proximasan,x,x,1
Foster,Hal,Hal Foster,Yes,x,Yes,x,"comics, clean, detailed, scene",,sureailabs,x,x,5
Foster,Jon,Jon Foster,Yes,x,Yes,x,"digital, portrait, scene",,sureailabs,x,x,12
Foster,Myles Birket,Myles Birket Foster,Yes,x,Yes,x,"watercolor, landscape, scene, romanticism",1899,sureailabs,x,x,12
Foster,Norman,Norman Foster,Yes,x,Yes,x,"architecture,",,sureailabs,x,x,9
Fouquet,Jean,Jean Fouquet,Yes,x,Yes,x,"renaissance, scene",1481,sureailabs,x,x,8
Fox,Toby,Toby Fox,Yes,x,Yes,x,"digital, cartoon",,sureailabs,x,x,12
Fraction,Matt,Matt Fraction,Yes,x,Yes,x,"comics, character, scene",,sureailabs,x,x,9
Fragonard,Alexandre-Évariste,Alexandre-Évariste Fragonard,Yes,x,Yes,x,"baroque, romanticism, scene",1850,sureailabs,x,x,11
Fragonard,Jean-Honoré,Jean-Honoré Fragonard,Yes,x,Yes,x,"baroque, impressionism, scene",1806,KyrickYoung,x,x,2
Frahm,Art,Art Frahm,Yes,x,Yes,x,"portrait, character",1981,sureailabs,x,x,12
Francis,Sam,Sam Francis,Yes,x,Yes,x,"abstract, expressionism",1994,sureailabs,x,x,12
Francken the Younger,Frans,Frans Francken the Younger,Yes,x,Yes,x,"baroque, scene",1642,sureailabs,x,x,11
Frank,Lisa,Lisa Frank,Yes,x,Yes,x,"whimsical, vibrant, colorful",,EErratica,x,x,1
Franke,Andreas,Andreas Franke,Yes,x,Yes,x,"photography, scene, surrealism",,EErratica,x,x,9
Frankenthaler,Helen,Helen Frankenthaler,Yes,x,Yes,x,"abstract, expressionism, watercolor",2011,proximasan,x,x,9
Frazetta,Frank,Frank Frazetta,Yes,x,Yes,x,"fantasy, dark, scene",2010,KyrickYoung,x,x,2
Freas,Kelly,Kelly Freas,Yes,x,Yes,x,"sci-fi, fantasy, ",2005,sureailabs,x,x,2
Freeman,Ed,Ed Freeman,Yes,x,Yes,x,"photography, nudity, figurativism, architecture",,sureailabs,x,x,10
Freud,Lucian,Lucian Freud,Yes,x,Yes,x,"portrait, expressionism, realism",2011,sureailabs,x,x,4
Friedrich,Caspar David,Caspar David Friedrich,Yes,x,Yes,x,"landscape, dark, romanticism",1840,KyrickYoung,x,x,1
Friel,Chris,Chris Friel,Yes,x,Yes,x,"dark, photography, landscape",,sureailabs,x,x,12
Frieseke,Frederick Carl,Frederick Carl Frieseke,Yes,x,Yes,x,"impressionism, scene",1939,sureailabs,x,x,12
Frissell,Toni,Toni Frissell,Yes,x,Yes,x,"photography, monochromatic",1988,sureailabs,x,x,13
Frith,William Powell,William Powell Frith,Yes,x,Yes,x,"romanticism, scene",1909,sureailabs,x,x,11
Froud,Brian,Brian Froud,Yes,x,Yes,x,"fantasy, dark, whimsical",,sureailabs,x,x,2
Froud,Wendy,Wendy Froud,Yes,x,Yes,x,"fantasy, dark, whimsical",,sureailabs,x,x,2
Fruin,Tom,Tom Fruin,Yes,x,Yes,x,"sculpture, stained glass, architecture, installation, light, vibrant",,sureailabs,x,x,11
Fuchs,Ando,Ando Fuchs,Yes,x,Yes,x,"photography, monochromatic, high contrast",,sureailabs,x,x,11
Fuchs,Ernst,Ernst Fuchs,Yes,x,Yes,x,"textured, detailed, surrealism",2015,sureailabs,x,x,2
Fujimoto,Sou,Sou Fujimoto,Yes,x,Yes,x,"architecture, angular, cubism",,EErratica,x,x,9
Fujita,Goro,Goro Fujita,Yes,x,Yes,x,"whimsical, 3D, cartoon",,sureailabs,x,x,5
Fuke,Ryohei,Ryohei Fuke,Yes,x,,,"character, dark, anime",,sureailabs,x,x,15
Fuller,Buckminster,Buckminster Fuller,Yes,x,Yes,x,architecture,1983,sureailabs,x,x,12
Fusco,Paul,Paul Fusco,Yes,x,Yes,x,photography,,sureailabs,x,x,11
Fuseli,Henry,Henry Fuseli,Yes,x,Yes,x,"romanticism, scene, high contrast, monochromatic",1825,sureailabs,x,x,2
Gacy,John Wayne,John Wayne Gacy,Yes,x,Yes,x,"vibrant, portrait",1994,sureailabs,x,x,10
Gadd,Elizabeth,Elizabeth Gadd,Yes,x,Yes,x,"photography, landscape, scene",,proximasan,x,x,9
Gaertner,Eduard,Eduard Gaertner,Yes,x,Yes,x,cityscape,1877,sureailabs,x,x,15
Gagnon,Clarence,Clarence Gagnon,Yes,x,,,,1942,sureailabs,x,x,14
Gaiman,Neil,Neil Gaiman,Yes,x,Yes,x,"comics, portrait, high contrast",,proximasan,x,x,12
Gainsborough,Thomas,Thomas Gainsborough,Yes,x,Yes,x,"romanticism, renaissance, landscape, scene",1788,sureailabs,x,x,6
Galien-Laloue,Eugene,Eugene Galien-Laloue,Yes,x,,,,1941,sureailabs,x,x,14
Gallé,Émile,Émile Gallé,Yes,x,No,x,art nouveau,1904,sureailabs,x,x,7
Gammell,Stephen,Stephen Gammell,Yes,x,Yes,x,"dark, children's illustration, high contrast, horror",,sureailabs,x,x,5
Gangloff,Hope,Hope Gangloff,Yes,x,Yes,x,"high contrast, vibrant, portrait",,sureailabs,x,x,6
Garant,Alex,Alex Garant,Yes,x,Yes,x,"portrait, figurativism, surrealism",,sureailabs,x,x,14
Garber,Daniel,Daniel Garber,Yes,x,Yes,x,"impressionism, landscape, realism",1958,sureailabs,x,x,8
Garcin,Gilbert,Gilbert Garcin,Yes,x,Yes,-,"photography, monochromatic, surrealism",2020,sureailabs,x,x,13
Garmash,Inessa,Inessa Garmash,Yes,x,Yes,x,"portrait, impressionism, romanticism",,proximasan,x,x,12
Garmash,Michael,Michael Garmash,Yes,x,Yes,x,"impressionism, scene, portrait",,sureailabs,x,x,12
Gaudí,Antoni,Antoni Gaudí,Yes,x,Yes,x,"architecture, angular",1926,sureailabs,x,x,7
Gaughan,Jack,Jack Gaughan,Yes,x,Yes,x,"sci-fi, vibrant",1985,sureailabs,x,x,3
Gauguin,Paul,Paul Gauguin,Yes,x,Yes,x,"impressionism, primitivism, symbolism",1903,sureailabs,x,x,2
Gaulli,Giovanni Battista,Giovanni Battista Gaulli,Yes,x,Yes,x,"baroque, portrait",1709,EErratica,x,x,2
Ge,Nikolai,Nikolai Ge,Yes,x,Yes,x,"symbolism, romanticism, scene",1894,sureailabs,x,x,7
Geary,Emma,Emma Geary,Yes,x,No,x,"portrait, cartoon",,sureailabs,x,x,2
Geddes,Anne,Anne Geddes,Yes,x,Yes,x,"photography, nudity, portrait",,sureailabs,x,x,5
Geddes,Jeremy,Jeremy Geddes,Yes,x,Yes,x,"photography, surrealism, dark",,sureailabs,x,x,5
Gehry,Frank,Frank Gehry,Yes,x,Yes,x,"architecture, cubism",,sureailabs,x,x,10
Gekas,Bill,Bill Gekas,Yes,x,Yes,x,"photography, portrait, surrealism",,sureailabs,x,x,12
Gentileschi,Artemisia,Artemisia Gentileschi,Yes,x,Yes,x,"baroque, renaissance, scene, portrait",1653,sureailabs,x,x,2
Gentileschi,Orazio,Orazio Gentileschi,Yes,x,Yes,x,"baroque, scene, portrait",1639,sureailabs,x,x,12
Gerard,Justin,Justin Gerard,Yes,x,Yes,x,"fantasy, whimsical, detailed",,sureailabs,x,x,5
Gerhartz,Daniel F.,Daniel F. Gerhartz,Yes,x,Yes,x,"impressionism, portrait",,sureailabs,x,x,12
Géricault,Théodore,Théodore Géricault,Yes,x,Yes,x,"romanticism, dark, scene, portrait",1824,sureailabs,x,x,9
Gérôme,Jean-Léon,Jean-Léon Gérôme,Yes,x,Yes,x,"romanticism, scene,",1904,sureailabs,x,x,7
Gerstner,Karl,Karl Gerstner,Yes,x,Yes,x,"graphic design, vibrant, abstract, colorful",2017,sureailabs,x,x,12
Gertler,Mark,Mark Gertler,Yes,x,Yes,x,"figurativism, portrait, still life",1939,sureailabs,x,x,13
Gesell,Stefan,Stefan Gesell,Yes,x,Yes,x,"photography, dark, character, surrealism",,sureailabs,x,x,14
Ghailan,Atey,Atey Ghailan,Yes,x,Yes,x,"digital, anime, scene",,sureailabs,x,x,5
Ghenie,Adrian,Adrian Ghenie,Yes,x,Yes,x,"messy, abstract, expressionism, baroque",,sureailabs,x,x,10
Giacometti,Alberto,Alberto Giacometti,Yes,x,Yes,x,"sculpture, expressionism,",1966,sureailabs,x,x,2
Giancola,Donato,Donato Giancola,Yes,x,Yes,x,"fantasy, sci-fi, detailed",,EErratica,x,x,2
Gibbons,Dave,Dave Gibbons,Yes,x,Yes,x,comics,,sureailabs,x,x,5
Gifford,Sanford Robinson,Sanford Robinson Gifford,Yes,x,Yes,x,"landscape, luminism",1880,sureailabs,x,x,13
Giger,H. R. (Hans Ruedi),H. R. (Hans Ruedi) Giger,Yes,x,Yes,x,"sci-fi, dark, monochromatic",2014,sureailabs,x,x,1
Gilleard,James,James Gilleard,Yes,x,Yes,x,"digital, architecture, vibrant, landscape",,sureailabs,x,x,7
Gillen,Kieron,Kieron Gillen,Yes,x,Yes,x,comics,,sureailabs,x,x,9
Gillett,Leticia,Leticia Gillett,Yes,x,No,x,"digital, character, 3D",,sureailabs,x,x,8
Gilliam,Sam,Sam Gilliam,Yes,x,Yes,x,"abstract, installation, textile",2022,sureailabs,x,x,13
Gillick,Liam,Liam Gillick,Yes,x,No,x,"abstract, installation",,proximasan,x,x,12
Gillmor,Robert,Robert Gillmor,Yes,x,Yes,x,animals,2022,proximasan,x,x,12
Gillray,James,James Gillray,Yes,x,Yes,x,"cartoon, scene",1815,sureailabs,x,x,15
Gilman,Harold,Harold Gilman,Yes,x,Yes,x,"portrait, landscape, impressionism",1919,sureailabs,x,x,15
Ginner,Charles,Charles Ginner,Yes,x,Yes,x,"vibrant, landscape, cityscape, scene",1952,sureailabs,x,x,15
Giordano,Luca,Luca Giordano,Yes,x,Yes,x,baroque,1705,sureailabs,x,x,13
Giorgione,, Giorgione,Yes,x,Yes,x,renaissance,1510,sureailabs,x,x,13
Giotto,, Giotto,Yes,x,Yes,x,renaissance,1337,sureailabs,x,x,13
Girard,Greg,Greg Girard,Yes,x,No,x,"photography, streetscape, high contrast",,sureailabs,x,x,8
Girardet,Eugène,Eugène Girardet,Yes,x,Yes,x,romanticism,1907,sureailabs,x,x,13
Giraud,Eugène,Eugène Giraud,Yes,x,Yes,x,"realism, scene",1881,sureailabs,x,x,15
Giraud,Jean,Jean Giraud,Yes,x,Yes,x,"comics, psychedelic, surrealism, fantasy, sci-fi",2012,proximasan,x,x,1
Girodet,Anne-Louis,Anne-Louis Girodet,Yes,x,Yes,x,"romanticism, portrait",1824,sureailabs,x,x,10
Glackens,William James,William James Glackens,Yes,x,Yes,x,"impressionism, scene",1938,sureailabs,x,x,15
Glaser,Milton,Milton Glaser,Yes,x,Yes,x,"graphic design, vibrant, colorful",2020,sureailabs,x,x,4
Gleizes,Albert,Albert Gleizes,Yes,x,Yes,x,"cubism, angular",1953,sureailabs,x,x,15
Glendening,Alfred Augustus,Alfred Augustus Glendening,Yes,x,Yes,x,"landscape, scene",1907,sureailabs,x,x,13
Glendinning,Lucy,Lucy Glendinning,Yes,x,Yes,x,sculpture,,sureailabs,x,x,15
Glinn,Burt,Burt Glinn,Yes,x,Yes,x,"photography, scene, monochromatic",2008,sureailabs,x,x,11
Globepainter,Seth,Seth Globepainter,Yes,x,Yes,x,"street art, cartoon",,sureailabs,x,x,11
Gluck,Gerhard,Gerhard Gluck,Yes,x,No,x,scene,,sureailabs,x,x,11
Gluckmann,Grigory,Grigory Gluckmann,Yes,x,Yes,x,"impressionism, figurativism",1973,sureailabs,x,x,11
Goble,Warwick,Warwick Goble,Yes,x,Yes,x,"whimsical, art nouveau, children's illustration",1943,sureailabs,x,x,2
Godward,John William,John William Godward,Yes,x,Yes,x,"romanticism, portrait, character, scene",1922,sureailabs,x,x,12
Godwin,Fay,Fay Godwin,Yes,x,Yes,x,"landscape, photography, monochromatic",2005,sureailabs,x,x,12
Gogos,Basil,Basil Gogos,Yes,x,Yes,x,"portrait, dark",2017,sureailabs,x,x,13
