surname,first_name,Name,Recognized_CLIP via Disco,DD_study,Recognized_Stable V1,"SD V1
study",Tags,"Year of Death 
( if living)",User,sgl imgs,cards folder,batch #
Andersen,Sarah,Sarah Andersen,Yes,x,Yes,x,"cartoon, comics, high contrast",,sureailabs,x,x,12
Anderson,Richard,Richard Anderson,Yes,x,Yes,x,"digital, fantasy, dark, messy",,sureailabs,x,x,12
Anderson,Sophie,Sophie Anderson,Yes,x,Yes,x,"character, portrait",,sureailabs,x,x,7
Anderson,Wes,Wes Anderson,Yes,x,Yes,x,"vibrant, whimsical, photography",,EErratica,x,x,1
Ando,Tadao,Tadao Ando,Yes,x,Yes,x,"angular, architecture",,EErratica,x,x,9
Andreev,Alex,Alex Andreev,Yes,x,Yes,x,"landscape, high contrast, vibrant",,sureailabs,x,x,9
Andrews,Esao,Esao Andrews,Yes,x,Yes,x,"surrealism, dark,",,sureailabs,x,x,1
Angelico,Fra,Fra Angelico,Yes,x,Yes,x,"renaissance, scene",1455,sureailabs,x,x,12
Angrand,Charles,Charles Angrand,Yes,x,Yes,x,"impressionism, clean",1926,sureailabs,x,x,3
Anguissola,Sofonisba,Sofonisba Anguissola,Yes,x,Yes,x,"renaissance, portrait",1625,sureailabs,x,x,7
Aniela,Miss,Miss Aniela,Yes,x,Yes,x,"whimsical, photography, scene",,proximasan,x,x,12
Anker,Albrecht,Albrecht Anker,Yes,x,Yes,x,"realism, scene, portrait",1910,sureailabs,x,x,10
Anning,Mary,Mary Anning,Yes,x,Yes,x,"scene, landscape",1847,sureailabs,x,x,8
Anquetin,Louis,Louis Anquetin,Yes,x,Yes,x,"impressionism, portrait, scene",1932,sureailabs,x,x,12
Ansell,Mary Jane,Mary Jane Ansell,Yes,x,Yes,x,"portrait, still life, photorealism",,sureailabs,x,x,12
Ansin,Martin,Martin Ansin,Yes,x,Yes,x,"detailed, high contrast",,sureailabs,x,x,8
Antoni,Janine,Janine Antoni,Yes,x,No,x,sculpture,,proximasan,x,x,11
Aoshima,Chiho,Chiho Aoshima,Yes,x,Yes,x,"pop art, colorful, whimsical, anime, fantasy, vibrant",,proximasan,x,x,12
Apterus,Sabbas,Sabbas Apterus,Yes,x,Yes,x,"digital, dark, scene",,sureailabs,x,x,11
Arad,Ron,Ron Arad,Yes,x,Yes,x,architecture,,sureailabs,x,x,11
Aragonés,Sergio,Sergio Aragonés,Yes,x,Yes,x,"cartoon, comics",,sureailabs,x,x,12
Araki,Hirohiko,Hirohiko Araki,Yes,x,Yes,x,manga,,sureailabs,x,x,5
Araki,Nobuyoshi,Nobuyoshi Araki,Yes,x,Yes,x,"photography, scene",,sureailabs,x,x,6
Aramaki,Shinji,Shinji Aramaki,Yes,x,Yes,x,"anime, scene, character",,sureailabs,x,x,5
Arbus,Diane,Diane Arbus,Yes,x,Yes,x,"photography, monochromatic, scene",1971,sureailabs,x,x,5
Arcangel,Cory,Cory Arcangel,Yes,x,Yes,x,"high contrast, colorful, installation",,sureailabs,x,x,8
Archillect,, Archillect,Yes,x,Yes,x,"monochromatic, dark, photography",,sureailabs,x,x,13
Archipenko,Alexander,Alexander Archipenko,Yes,x,Yes,x,"sculpture, abstract, cubism",1964,sureailabs,x,x,9
Arcimboldo,Giuseppe,Giuseppe Arcimboldo,Yes,x,Yes,x,"dark, fruit",1593,EErratica,x,x,1
Ardon,Mordecai,Mordecai Ardon,Yes,x,Yes,x,"abstract, figurativism, expressionism",1992,proximasan,x,x,10
Argyle,Steve,Steve Argyle,Yes,x,Yes,x,"fantasy, character",,sureailabs,x,x,7
Arian,Mark,Mark Arian,Yes,x,Yes,x,"character, realism",,EErratica,x,x,9
Arkhipov,Abram Efimovich,Abram Efimovich Arkhipov,Yes,x,Yes,x,"realism, scene",1930,sureailabs,x,x,12
Arkley,Howard,Howard Arkley,Yes,x,Yes,x,"architecture, vibrant, colorful, detailed",1999,sureailabs,x,x,11
Armstrong,Rolf,Rolf Armstrong,Yes,x,Yes,x,"character, vibrant, art nouveau, art deco",1960,sureailabs,x,x,9
Arnegger,Alois,Alois Arnegger,Yes,x,Yes,x,"romanticism, landscape",1963,sureailabs,x,x,13
Arnold,Eve,Eve Arnold,Yes,x,Yes,x,"photography, monochromatic",2012,sureailabs,x,x,13
Arntz,Gerd,Gerd Arntz,Yes,x,Yes,x,"graphic design, high contrast, flat colors, monochromatic",1988,sureailabs,x,x,13
Arntzenius,Floris,Floris Arntzenius,Yes,x,Yes,x,"realism, streetscape, scene",1925,sureailabs,x,x,13
Aroch,Guy,Guy Aroch,Yes,x,Yes,x,"photography, fashion, portrait",,sureailabs,x,x,13
Aronson,Ben,Ben Aronson,Yes,x,Yes,x,"cityscape, streetscape, realism, impressionism",,sureailabs,x,x,13
Arp,Jean,Jean Arp,Yes,x,Yes,x,"abstract, high contrast",1966,KyrickYoung,x,x,2
Arrivabene,Agostino,Agostino Arrivabene,Yes,x,Yes,x,"renaissance, dark, surrealism, low contrast",,sureailabs,x,x,12
Arsham,Daniel,Daniel Arsham,Yes,x,Yes,x,"sculpture, installation",,sureailabs,x,x,13
Artgerm,, Artgerm,Yes,x,Yes,x,character,,EErratica,x,x,3
Asai,Miki,Miki Asai,Yes,x,Yes,x,"photography, vibrant",,sureailabs,x,x,13
Asano,Inio,Inio Asano,Yes,x,Yes,x,"manga, scene",,sureailabs,x,x,9
Ascher,Clemens,Clemens Ascher,Yes,x,Yes,x,"photography, vibrant, high contrast",,sureailabs,x,x,9
Asencio,Henry,Henry Asencio,Yes,x,Yes,x,"dark, messy, expressionism, impressionism, abstract, figurativism, portrait",,proximasan,x,x,10
Atget,Eugène,Eugène Atget,Yes,x,Yes,x,"photography, surrealism, monochromatic, architecture, dark",1927,sureailabs,x,x,13
Atroshenko,Andrew,Andrew Atroshenko,Yes,x,Yes,x,"portrait, impressionism, figurativism",,proximasan,x,x,10
Audubon,John James,John James Audubon,Yes,x,Yes,x,"birds, realism, watercolor",1851,EErratica,x,x,1
Auerbach,Frank,Frank Auerbach,Yes,x,Yes,x,"dark, expressionism",1931,sureailabs,x,x,3
Ault,George,George Ault,Yes,x,Yes,x,"surrealism, dark, angular, high contrast",1948,proximasan,x,x,10
Avercamp,Hendrick,Hendrick Avercamp,Yes,x,Yes,x,"landscape, scene",1634,proximasan,x,x,9
