date,sex,year,deaths
2008-04-09,M,2008,38
2008-04-10,F,2008,38
2008-04-10,M,2008,38
2008-04-11,F,2008,35
2008-04-11,M,2008,34
2008-04-12,F,2008,33
2008-04-12,M,2008,34
2008-04-13,F,2008,43
2008-04-13,M,2008,39
2008-04-14,F,2008,40
2008-04-14,M,2008,39
2008-04-15,F,2008,52
2008-04-15,M,2008,36
2008-04-16,F,2008,46
2008-04-16,M,2008,40
2008-04-17,F,2008,34
2008-04-17,M,2008,36
2008-04-18,F,2008,41
2008-04-18,M,2008,41
2008-04-19,F,2008,35
2008-04-19,M,2008,35
2008-04-20,F,2008,38
2008-04-20,M,2008,41
2008-04-21,F,2008,45
2008-04-21,M,2008,34
2008-04-22,F,2008,37
2008-04-22,M,2008,36
2008-04-23,F,2008,35
2008-04-23,M,2008,36
2008-04-24,F,2008,35
2008-04-24,M,2008,42
2008-04-25,F,2008,41
2008-04-25,M,2008,46
2008-04-26,F,2008,29
2008-04-26,M,2008,45
2008-04-27,F,2008,39
2008-04-27,M,2008,39
2008-04-28,F,2008,35
2008-04-28,M,2008,46
2008-04-29,F,2008,43
2008-04-29,M,2008,42
2008-04-30,F,2008,51
2008-04-30,M,2008,38
2008-05-01,F,2008,34
2008-05-01,M,2008,33
2008-05-02,F,2008,33
2008-05-02,M,2008,40
2008-05-03,F,2008,45
2008-05-03,M,2008,44
2008-05-04,F,2008,62
2008-05-04,M,2008,36
2008-05-05,F,2008,43
2008-05-05,M,2008,50
2008-05-06,F,2008,42
2008-05-06,M,2008,33
2008-05-07,F,2008,35
2008-05-07,M,2008,36
2008-05-08,F,2008,34
2008-05-08,M,2008,25
2008-05-09,F,2008,44
2008-05-09,M,2008,34
2008-05-10,F,2008,42
2008-05-10,M,2008,37
2008-05-11,F,2008,49
2008-05-11,M,2008,41
2008-05-12,F,2008,28
2008-05-12,M,2008,30
2008-05-13,F,2008,38
2008-05-13,M,2008,39
2008-05-14,F,2008,45
2008-05-14,M,2008,40
2008-05-15,F,2008,36
2008-05-15,M,2008,30
2008-05-16,F,2008,32
2008-05-16,M,2008,37
2008-05-17,F,2008,35
2008-05-17,M,2008,36
2008-05-18,F,2008,27
2008-05-18,M,2008,38
2008-05-19,F,2008,32
2008-05-19,M,2008,37
2008-05-20,F,2008,31
2008-05-20,M,2008,34
2008-05-21,F,2008,38
2008-05-21,M,2008,36
2008-05-22,F,2008,40
2008-05-22,M,2008,50
2008-05-23,F,2008,32
2008-05-23,M,2008,35
2008-05-24,F,2008,32
2008-05-24,M,2008,28
2008-05-25,F,2008,34
2008-05-25,M,2008,26
2008-05-26,F,2008,47
2008-05-26,M,2008,32
2008-05-27,F,2008,35
2008-05-27,M,2008,37
2008-05-28,F,2008,30
2008-05-28,M,2008,30
2008-05-29,F,2008,34
2008-05-29,M,2008,37
2008-05-30,F,2008,24
2008-05-30,M,2008,37
2008-05-31,F,2008,51
2008-05-31,M,2008,36
2008-06-01,F,2008,33
2008-06-01,M,2008,38
2008-06-02,F,2008,32
2008-06-02,M,2008,23
2008-06-03,F,2008,34
2008-06-03,M,2008,31
2008-06-04,F,2008,42
2008-06-04,M,2008,30
2008-06-05,F,2008,33
2008-06-05,M,2008,31
2008-06-06,F,2008,31
2008-06-06,M,2008,30
2008-06-07,F,2008,27
2008-06-07,M,2008,28
2008-06-08,F,2008,38
2008-06-08,M,2008,25
2008-06-09,F,2008,35
2008-06-09,M,2008,34
2008-06-10,F,2008,31
2008-06-10,M,2008,25
2008-06-11,F,2008,22
2008-06-11,M,2008,35
2008-06-12,F,2008,33
2008-06-12,M,2008,34
2008-06-13,F,2008,23
2008-06-13,M,2008,29
2008-06-14,F,2008,27
2008-06-14,M,2008,22
2008-06-15,F,2008,28
2008-06-15,M,2008,33
2008-06-16,F,2008,25
2008-06-16,M,2008,27
2008-06-17,F,2008,28
2008-06-17,M,2008,29
2008-06-18,F,2008,31
2008-06-18,M,2008,40
2008-06-19,F,2008,31
2008-06-19,M,2008,34
2008-06-20,F,2008,35
2008-06-20,M,2008,37
2008-06-21,F,2008,33
2008-06-21,M,2008,39
2008-06-22,F,2008,31
2008-06-22,M,2008,27
2008-06-23,F,2008,34
2008-06-23,M,2008,33
2008-06-24,F,2008,34
2008-06-24,M,2008,33
2008-06-25,F,2008,31
2008-06-25,M,2008,27
2008-06-26,F,2008,33
2008-06-26,M,2008,32
2008-06-27,F,2008,32
2008-06-27,M,2008,28
2008-06-28,F,2008,30
2008-06-28,M,2008,27
2008-06-29,F,2008,31
2008-06-29,M,2008,30
2008-06-30,F,2008,40
2008-06-30,M,2008,45
2008-07-01,F,2008,39
2008-07-01,M,2008,27
2008-07-02,F,2008,38
2008-07-02,M,2008,33
2008-07-03,F,2008,55
2008-07-03,M,2008,30
2008-07-04,F,2008,27
2008-07-04,M,2008,35
2008-07-05,F,2008,28
2008-07-05,M,2008,40
2008-07-06,F,2008,33
2008-07-06,M,2008,37
2008-07-07,F,2008,36
2008-07-07,M,2008,45
2008-07-08,F,2008,35
2008-07-08,M,2008,35
2008-07-09,F,2008,53
2008-07-09,M,2008,42
2008-07-10,F,2008,39
2008-07-10,M,2008,43
2008-07-11,F,2008,36
2008-07-11,M,2008,47
2008-07-12,F,2008,28
2008-07-12,M,2008,38
2008-07-13,F,2008,43
2008-07-13,M,2008,36
2008-07-14,F,2008,37
2008-07-14,M,2008,39
2008-07-15,F,2008,36
2008-07-15,M,2008,33
2008-07-16,F,2008,33
2008-07-16,M,2008,23
2008-07-17,F,2008,30
2008-07-17,M,2008,38
2008-07-18,F,2008,30
2008-07-18,M,2008,35
2008-07-19,F,2008,43
2008-07-19,M,2008,36
2008-07-20,F,2008,33
2008-07-20,M,2008,25
2008-07-21,F,2008,38
2008-07-21,M,2008,41
2008-07-22,F,2008,32
2008-07-22,M,2008,34
2008-07-23,F,2008,33
2008-07-23,M,2008,33
2008-07-24,F,2008,33
2008-07-24,M,2008,29
2008-07-25,F,2008,39
2008-07-25,M,2008,43
2008-07-26,F,2008,19
2008-07-26,M,2008,32
2008-07-27,F,2008,41
2008-07-27,M,2008,35
2008-07-28,F,2008,37
2008-07-28,M,2008,46
2008-07-29,F,2008,35
2008-07-29,M,2008,34
2008-07-30,F,2008,31
2008-07-30,M,2008,36
2008-07-31,F,2008,37
2008-07-31,M,2008,38
2008-08-01,F,2008,24
2008-08-01,M,2008,34
2008-08-02,F,2008,36
2008-08-02,M,2008,37
2008-08-03,F,2008,30
2008-08-03,M,2008,44
