"quarter","sex","deaths"
"1984Q4","Female","3380"
"1985Q1","Male","5430"
"1985Q1","Female","4446"
"1985Q2","Male","4496"
"1985Q2","Female","3729"
"1985Q3","Male","4023"
"1985Q3","Female","3215"
"1985Q4","Male","4320"
"1985Q4","Female","3563"
"1986Q1","Male","5391"
"1986Q1","Female","4671"
"1986Q2","Male","4870"
"1986Q2","Female","4000"
"1986Q3","Male","3999"
"1986Q3","Female","3308"
"1986Q4","Male","4011"
"1986Q4","Female","3377"
"1987Q1","Male","4846"
"1987Q1","Female","4070"
"1987Q2","Male","4222"
"1987Q2","Female","3549"
"1987Q3","Male","3863"
"1987Q3","Female","3272"
"1987Q4","Male","4020"
"1987Q4","Female","3377"
"1988Q1","Male","4871"
"1988Q1","Female","4347"
"1988Q2","Male","4446"
"1988Q2","Female","3679"
"1988Q3","Male","3753"
"1988Q3","Female","3237"
"1988Q4","Male","3919"
"1988Q4","Female","3323"
"1989Q1","Male","4450"
"1989Q1","Female","4022"
"1989Q2","Male","4257"
"1989Q2","Female","3804"
"1989Q3","Male","3794"
"1989Q3","Female","3347"
"1989Q4","Male","4017"
"1989Q4","Female","3412"
"1990Q1","Male","5251"
"1990Q1","Female","4843"
"1990Q2","Male","4036"
"1990Q2","Female","3400"
"1990Q3","Male","3725"
"1990Q3","Female","3140"
"1990Q4","Male","3990"
"1990Q4","Female","3433"
"1991Q1","Male","4746"
"1991Q1","Female","4274"
"1991Q2","Male","4240"
"1991Q2","Female","3745"
"1991Q3","Male","3725"
"1991Q3","Female","3252"
"1991Q4","Male","4030"
"1991Q4","Female","3486"
"1992Q1","Male","4712"
"1992Q1","Female","4286"
"1992Q2","Male","3909"
"1992Q2","Female","3329"
"1992Q3","Male","3802"
"1992Q3","Female","3434"
"1992Q4","Male","3968"
"1992Q4","Female","3340"
"1993Q1","Male","4378"
"1993Q1","Female","3953"
"1993Q2","Male","4128"
"1993Q2","Female","3689"
"1993Q3","Male","3775"
"1993Q3","Female","3379"
"1993Q4","Male","4501"
"1993Q4","Female","3853"
"1994Q1","Male","4426"
"1994Q1","Female","4125"
"1994Q2","Male","4132"
"1994Q2","Female","3675"
"1994Q3","Male","3835"
"1994Q3","Female","3378"
"1994Q4","Male","3826"
"1994Q4","Female","3347"
"1995Q1","Male","4814"
"1995Q1","Female","4351"
"1995Q2","Male","4248"
"1995Q2","Female","3756"
"1995Q3","Male","3611"
"1995Q3","Female","3224"
"1995Q4","Male","4008"
"1995Q4","Female","3482"
"1996Q1","Male","4847"
"1996Q1","Female","4401"
"1996Q2","Male","4034"
"1996Q2","Female","3756"
"1996Q3","Male","3789"
"1996Q3","Female","3446"
"1996Q4","Male","3843"
"1996Q4","Female","3398"
"1997Q1","Male","4781"
"1997Q1","Female","4454"
"1997Q2","Male","4181"
"1997Q2","Female","3923"
"1997Q3","Male","3700"
"1997Q3","Female","3390"
"1997Q4","Male","3799"
"1997Q4","Female","3377"
"1998Q1","Male","4686"
"1998Q1","Female","4241"
"1998Q2","Male","4148"
"1998Q2","Female","3873"
"1998Q3","Male","3785"
"1998Q3","Female","3402"
"1998Q4","Male","3864"
"1998Q4","Female","3353"
"1999Q1","Male","5035"
"1999Q1","Female","4832"
"1999Q2","Male","4033"
"1999Q2","Female","3744"
"1999Q3","Male","3562"
"1999Q3","Female","3083"
"1999Q4","Male","3850"
"1999Q4","Female","3544"
"2000Q1","Male","4875"
"2000Q1","Female","4929"
"2000Q2","Male","3955"
"2000Q2","Female","3695"
"2000Q3","Male","3558"
"2000Q3","Female","3274"
"2000Q4","Male","3542"
"2000Q4","Female","3287"
"2001Q1","Male","4290"
"2001Q1","Female","4118"
"2001Q2","Male","3714"
"2001Q2","Female","3546"
"2001Q3","Male","3656"
"2001Q3","Female","3318"
"2001Q4","Male","3748"
"2001Q4","Female","3422"
"2002Q1","Male","3941"
"2002Q1","Female","3808"
"2002Q2","Male","4019"
"2002Q2","Female","3661"
"2002Q3","Male","3660"
"2002Q3","Female","3281"
"2002Q4","Male","3597"
"2002Q4","Female","3381"
"2003Q1","Male","3931"
"2003Q1","Female","3825"
"2003Q2","Male","3695"
"2003Q2","Female","3508"
"2003Q3","Male","3475"
"2003Q3","Female","3164"
"2003Q4","Male","3634"
"2003Q4","Female","3591"
"2004Q1","Male","3953"
"2004Q1","Female","3920"
"2004Q2","Male","3495"
"2004Q2","Female","3386"
"2004Q3","Male","3324"
"2004Q3","Female","3149"
"2004Q4","Male","3712"
"2004Q4","Female","3212"
"2005Q1","Male","3661"
"2005Q1","Female","3691"
"2005Q2","Male","3737"
"2005Q2","Female","3612"
"2005Q3","Male","3215"
"2005Q3","Female","3165"
"2005Q4","Male","3291"
"2005Q4","Female","3069"
"2006Q1","Male","3643"
"2006Q1","Female","3677"
"2006Q2","Male","3635"
"2006Q2","Female","3332"
"2006Q3","Male","3417"
"2006Q3","Female","3240"
"2006Q4","Male","3416"
"2006Q4","Female","3119"
"2007Q1","Male","3953"
"2007Q1","Female","3957"
"2007Q2","Male","3493"
"2007Q2","Female","3409"
"2007Q3","Male","3325"
"2007Q3","Female","3130"
"2007Q4","Male","3528"
"2007Q4","Female","3528"
"2008Q1","Male","3715"
"2008Q1","Female","3812"
"2008Q2","Male","3842"
"2008Q2","Female","3728"
"2008Q3","Male","3467"
"2008Q3","Female","3227"
"2008Q4","Male","3389"
"2008Q4","Female","3012"
"2009Q1","Male","4326"
"2009Q1","Female","4093"
"2009Q2","Male","3647"
"2009Q2","Female","3373"
"2009Q3","Male","3505"
"2009Q3","Female","3133"
"2009Q4","Male","3566"
"2009Q4","Female","3255"
"2010Q1","Male","3997"
"2010Q1","Female","4009"
"2010Q2","Male","3613"
"2010Q2","Female","3316"
"2010Q3","Male","3357"
"2010Q3","Female","3160"
"2010Q4","Male","3093"
"2010Q4","Female","3020"
"2011Q1","Male","4100"
"2011Q1","Female","3993"
"2011Q2","Male","3717"
"2011Q2","Female","3560"
"2011Q3","Male","3575"
"2011Q3","Female","3336"
"2011Q4","Male","3397"
"2011Q4","Female","3317"
"2012Q1","Male","4005"
"2012Q1","Female","3974"
"2012Q2","Male","3586"
"2012Q2","Female","3494"
"2012Q3","Male","3589"
"2012Q3","Female","3236"
"2012Q4","Male","3598"
"2012Q4","Female","3366"
"2013Q1","Male","4140"
"2013Q1","Female","4207"
"2013Q2","Male","3916"
"2013Q2","Female","3728"
"2013Q3","Male","3514"
"2013Q3","Female","3469"
"2013Q4","Male","3641"
"2013Q4","Female","3403"
"2014Q1","Male","4046"
"2014Q1","Female","4064"
"2014Q2","Male","3691"
"2014Q2","Female","3506"
"2014Q3","Male","3596"
"2014Q3","Female","3405"
"2014Q4","Male","3530"
"2014Q4","Female","3257"
"2015Q1","Male","4245"
"2015Q1","Female","4359"
"2015Q2","Male","3818"
"2015Q2","Female","3747"
"2015Q3","Male","3506"
"2015Q3","Female","3345"
"2015Q4","Male","3581"
"2015Q4","Female","3351"
"2016Q1","Male","4339"
"2016Q1","Female","4270"
"2016Q2","Male","3975"
"2016Q2","Female","3722"
"2016Q3","Male","3621"
"2016Q3","Female","3508"
"2016Q4","Male","3564"
"2016Q4","Female","3391"
"2017Q1","Male","4484"
"2017Q1","Female","4583"
"2017Q2","Male","3800"
"2017Q2","Female","3515"
"2017Q3","Male","3608"
"2017Q3","Female","3379"
"2017Q4","Male","3605"
"2017Q4","Female","3510"
"2018Q1","Male","4593"
"2018Q1","Female","4685"
"2018Q2","Male","3888"
"2018Q2","Female","3704"
"2018Q3","Male","3700"
"2018Q3","Female","3443"
"2018Q4","Male","3786"
"2018Q4","Female","3317"
"2019Q1","Male","4412"
"2019Q1","Female","4206"
"2019Q2","Male","3925"
"2019Q2","Female","3594"
"2019Q3","Male","3956"
"2019Q3","Female","3402"
"2019Q4","Male","3975"
"2019Q4","Female","3664"
"2020Q1","Male","4439"
"2020Q1","Female","4235"
"2020Q2","Male","4468"
"2020Q2","Female","4114"
"2020Q3","Male","3627"
"2020Q3","Female","3484"
"2020Q4","Male","3916"
"2020Q4","Female","3482"
"2021Q1","Male","4981"
"2021Q1","Female","4583"
"2021Q2","Male","3457"
"2021Q2","Female","3243"
"2021Q3","Male","4310"
"2021Q3","Female","3855"
"2021Q4","Male","4464"
"2021Q4","Female","4162"
"2022Q1","Male","4964"
"2022Q1","Female","4571"
"2022Q2","Male","4767"
"2022Q2","Female","4559"
"2022Q3","Male","4395"
"2022Q3","Female","4072"
"2022Q4","Male","4220"
"2022Q4","Female","3929"
"2023Q1","Male","5211"
"2023Q1","Female","4994"
"2023Q2","Male","4503"
"2023Q2","Female","4246"
