"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2021 April 04","Both sexes","Number","88"
"RIP.ie death notices","2021 April 05","Both sexes","Number","85"
"RIP.ie death notices","2021 April 06","Both sexes","Number","105"
"RIP.ie death notices","2021 April 07","Both sexes","Number","70"
"RIP.ie death notices","2021 April 08","Both sexes","Number","59"
"RIP.ie death notices","2021 April 09","Both sexes","Number","86"
"RIP.ie death notices","2021 April 10","Both sexes","Number","92"
"RIP.ie death notices","2021 April 11","Both sexes","Number","73"
"RIP.ie death notices","2021 April 12","Both sexes","Number","85"
"RIP.ie death notices","2021 April 13","Both sexes","Number","79"
"RIP.ie death notices","2021 April 14","Both sexes","Number","87"
"RIP.ie death notices","2021 April 15","Both sexes","Number","97"
"RIP.ie death notices","2021 April 16","Both sexes","Number","72"
"RIP.ie death notices","2021 April 17","Both sexes","Number","83"
"RIP.ie death notices","2021 April 18","Both sexes","Number","86"
"RIP.ie death notices","2021 April 19","Both sexes","Number","82"
"RIP.ie death notices","2021 April 20","Both sexes","Number","91"
"RIP.ie death notices","2021 April 21","Both sexes","Number","99"
"RIP.ie death notices","2021 April 22","Both sexes","Number","85"
"RIP.ie death notices","2021 April 23","Both sexes","Number","88"
"RIP.ie death notices","2021 April 24","Both sexes","Number","76"
"RIP.ie death notices","2021 April 25","Both sexes","Number","75"
"RIP.ie death notices","2021 April 26","Both sexes","Number","96"
"RIP.ie death notices","2021 April 27","Both sexes","Number","92"
"RIP.ie death notices","2021 April 28","Both sexes","Number","78"
"RIP.ie death notices","2021 April 29","Both sexes","Number","90"
"RIP.ie death notices","2021 April 30","Both sexes","Number","88"
"RIP.ie death notices","2021 May 01","Both sexes","Number","76"
"RIP.ie death notices","2021 May 02","Both sexes","Number","73"
"RIP.ie death notices","2021 May 03","Both sexes","Number","82"
"RIP.ie death notices","2021 May 04","Both sexes","Number","83"
"RIP.ie death notices","2021 May 05","Both sexes","Number","80"
"RIP.ie death notices","2021 May 06","Both sexes","Number","98"
"RIP.ie death notices","2021 May 07","Both sexes","Number","98"
"RIP.ie death notices","2021 May 08","Both sexes","Number","99"
"RIP.ie death notices","2021 May 09","Both sexes","Number","92"
"RIP.ie death notices","2021 May 10","Both sexes","Number","97"
"RIP.ie death notices","2021 May 11","Both sexes","Number","72"
"RIP.ie death notices","2021 May 12","Both sexes","Number","81"
"RIP.ie death notices","2021 May 13","Both sexes","Number","97"
"RIP.ie death notices","2021 May 14","Both sexes","Number","76"
"RIP.ie death notices","2021 May 15","Both sexes","Number","88"
"RIP.ie death notices","2021 May 16","Both sexes","Number","78"
"RIP.ie death notices","2021 May 17","Both sexes","Number","84"
"RIP.ie death notices","2021 May 18","Both sexes","Number","82"
"RIP.ie death notices","2021 May 19","Both sexes","Number","82"
"RIP.ie death notices","2021 May 20","Both sexes","Number","86"
"RIP.ie death notices","2021 May 21","Both sexes","Number","83"
"RIP.ie death notices","2021 May 22","Both sexes","Number","73"
"RIP.ie death notices","2021 May 23","Both sexes","Number","84"
"RIP.ie death notices","2021 May 24","Both sexes","Number","91"
"RIP.ie death notices","2021 May 25","Both sexes","Number","74"
"RIP.ie death notices","2021 May 26","Both sexes","Number","89"
"RIP.ie death notices","2021 May 27","Both sexes","Number","94"
"RIP.ie death notices","2021 May 28","Both sexes","Number","93"
"RIP.ie death notices","2021 May 29","Both sexes","Number","87"
"RIP.ie death notices","2021 May 30","Both sexes","Number","84"
"RIP.ie death notices","2021 May 31","Both sexes","Number","79"
"RIP.ie death notices","2021 June 01","Both sexes","Number","83"
"RIP.ie death notices","2021 June 02","Both sexes","Number","83"
"RIP.ie death notices","2021 June 03","Both sexes","Number","70"
"RIP.ie death notices","2021 June 04","Both sexes","Number","88"
"RIP.ie death notices","2021 June 05","Both sexes","Number","82"
"RIP.ie death notices","2021 June 06","Both sexes","Number","84"
"RIP.ie death notices","2021 June 07","Both sexes","Number","63"
"RIP.ie death notices","2021 June 08","Both sexes","Number","75"
"RIP.ie death notices","2021 June 09","Both sexes","Number","69"
"RIP.ie death notices","2021 June 10","Both sexes","Number","78"
"RIP.ie death notices","2021 June 11","Both sexes","Number","89"
"RIP.ie death notices","2021 June 12","Both sexes","Number","96"
"RIP.ie death notices","2021 June 13","Both sexes","Number","90"
"RIP.ie death notices","2021 June 14","Both sexes","Number","71"
"RIP.ie death notices","2021 June 15","Both sexes","Number","58"
"RIP.ie death notices","2021 June 16","Both sexes","Number","80"
"RIP.ie death notices","2021 June 17","Both sexes","Number","81"
"RIP.ie death notices","2021 June 18","Both sexes","Number","71"
"RIP.ie death notices","2021 June 19","Both sexes","Number","79"
"RIP.ie death notices","2021 June 20","Both sexes","Number","76"
"RIP.ie death notices","2021 June 21","Both sexes","Number","82"
"RIP.ie death notices","2021 June 22","Both sexes","Number","80"
"RIP.ie death notices","2021 June 23","Both sexes","Number","63"
"RIP.ie death notices","2021 June 24","Both sexes","Number","76"
"RIP.ie death notices","2021 June 25","Both sexes","Number","79"
"RIP.ie death notices","2021 June 26","Both sexes","Number","62"
"RIP.ie death notices","2021 June 27","Both sexes","Number","81"
"RIP.ie death notices","2021 June 28","Both sexes","Number","93"
"RIP.ie death notices","2021 June 29","Both sexes","Number","94"
"RIP.ie death notices","2021 June 30","Both sexes","Number","83"
"RIP.ie death notices","2021 July 01","Both sexes","Number","93"
"RIP.ie death notices","2021 July 02","Both sexes","Number","78"
"RIP.ie death notices","2021 July 03","Both sexes","Number","82"
"RIP.ie death notices","2021 July 04","Both sexes","Number","67"
"RIP.ie death notices","2021 July 05","Both sexes","Number","74"
"RIP.ie death notices","2021 July 06","Both sexes","Number","76"
"RIP.ie death notices","2021 July 07","Both sexes","Number","82"
"RIP.ie death notices","2021 July 08","Both sexes","Number","70"
"RIP.ie death notices","2021 July 09","Both sexes","Number","60"
"RIP.ie death notices","2021 July 10","Both sexes","Number","84"
"RIP.ie death notices","2021 July 11","Both sexes","Number","73"
"RIP.ie death notices","2021 July 12","Both sexes","Number","78"
"RIP.ie death notices","2021 July 13","Both sexes","Number","76"
"RIP.ie death notices","2021 July 14","Both sexes","Number","53"
"RIP.ie death notices","2021 July 15","Both sexes","Number","87"
"RIP.ie death notices","2021 July 16","Both sexes","Number","101"
"RIP.ie death notices","2021 July 17","Both sexes","Number","102"
"RIP.ie death notices","2021 July 18","Both sexes","Number","103"
"RIP.ie death notices","2021 July 19","Both sexes","Number","76"
"RIP.ie death notices","2021 July 20","Both sexes","Number","98"
"RIP.ie death notices","2021 July 21","Both sexes","Number","107"
"RIP.ie death notices","2021 July 22","Both sexes","Number","93"
"RIP.ie death notices","2021 July 23","Both sexes","Number","100"
"RIP.ie death notices","2021 July 24","Both sexes","Number","86"
"RIP.ie death notices","2021 July 25","Both sexes","Number","96"
"RIP.ie death notices","2021 July 26","Both sexes","Number","81"
"RIP.ie death notices","2021 July 27","Both sexes","Number","86"
"RIP.ie death notices","2021 July 28","Both sexes","Number","83"
"RIP.ie death notices","2021 July 29","Both sexes","Number","82"
"RIP.ie death notices","2021 July 30","Both sexes","Number","91"
"RIP.ie death notices","2021 July 31","Both sexes","Number","68"
"RIP.ie death notices","2021 August 01","Both sexes","Number","78"
"RIP.ie death notices","2021 August 02","Both sexes","Number","70"
"RIP.ie death notices","2021 August 03","Both sexes","Number","77"
"RIP.ie death notices","2021 August 04","Both sexes","Number","89"
"RIP.ie death notices","2021 August 05","Both sexes","Number","87"
"RIP.ie death notices","2021 August 06","Both sexes","Number","78"
"RIP.ie death notices","2021 August 07","Both sexes","Number","83"
"RIP.ie death notices","2021 August 08","Both sexes","Number","53"
"RIP.ie death notices","2021 August 09","Both sexes","Number","83"
"RIP.ie death notices","2021 August 10","Both sexes","Number","77"
"RIP.ie death notices","2021 August 11","Both sexes","Number","102"
"RIP.ie death notices","2021 August 12","Both sexes","Number","101"
"RIP.ie death notices","2021 August 13","Both sexes","Number","86"
"RIP.ie death notices","2021 August 14","Both sexes","Number","85"
"RIP.ie death notices","2021 August 15","Both sexes","Number","81"
"RIP.ie death notices","2021 August 16","Both sexes","Number","82"
"RIP.ie death notices","2021 August 17","Both sexes","Number","89"
"RIP.ie death notices","2021 August 18","Both sexes","Number","80"
"RIP.ie death notices","2021 August 19","Both sexes","Number","82"
"RIP.ie death notices","2021 August 20","Both sexes","Number","96"
"RIP.ie death notices","2021 August 21","Both sexes","Number","80"
"RIP.ie death notices","2021 August 22","Both sexes","Number","87"
"RIP.ie death notices","2021 August 23","Both sexes","Number","73"
"RIP.ie death notices","2021 August 24","Both sexes","Number","84"
"RIP.ie death notices","2021 August 25","Both sexes","Number","86"
"RIP.ie death notices","2021 August 26","Both sexes","Number","75"
"RIP.ie death notices","2021 August 27","Both sexes","Number","77"
"RIP.ie death notices","2021 August 28","Both sexes","Number","79"
"RIP.ie death notices","2021 August 29","Both sexes","Number","104"
"RIP.ie death notices","2021 August 30","Both sexes","Number","92"
"RIP.ie death notices","2021 August 31","Both sexes","Number","80"
"RIP.ie death notices","2021 September 01","Both sexes","Number","79"
"RIP.ie death notices","2021 September 02","Both sexes","Number","94"
"RIP.ie death notices","2021 September 03","Both sexes","Number","83"
"RIP.ie death notices","2021 September 04","Both sexes","Number","97"
"RIP.ie death notices","2021 September 05","Both sexes","Number","100"
"RIP.ie death notices","2021 September 06","Both sexes","Number","89"
"RIP.ie death notices","2021 September 07","Both sexes","Number","90"
"RIP.ie death notices","2021 September 08","Both sexes","Number","99"
"RIP.ie death notices","2021 September 09","Both sexes","Number","95"
"RIP.ie death notices","2021 September 10","Both sexes","Number","93"
"RIP.ie death notices","2021 September 11","Both sexes","Number","87"
"RIP.ie death notices","2021 September 12","Both sexes","Number","94"
"RIP.ie death notices","2021 September 13","Both sexes","Number","75"
"RIP.ie death notices","2021 September 14","Both sexes","Number","82"
"RIP.ie death notices","2021 September 15","Both sexes","Number","100"
"RIP.ie death notices","2021 September 16","Both sexes","Number","84"
"RIP.ie death notices","2021 September 17","Both sexes","Number","92"
"RIP.ie death notices","2021 September 18","Both sexes","Number","68"
"RIP.ie death notices","2021 September 19","Both sexes","Number","66"
"RIP.ie death notices","2021 September 20","Both sexes","Number","87"
"RIP.ie death notices","2021 September 21","Both sexes","Number","84"
"RIP.ie death notices","2021 September 22","Both sexes","Number","93"
"RIP.ie death notices","2021 September 23","Both sexes","Number","97"
"RIP.ie death notices","2021 September 24","Both sexes","Number","89"
"RIP.ie death notices","2021 September 25","Both sexes","Number","91"
"RIP.ie death notices","2021 September 26","Both sexes","Number","83"
"RIP.ie death notices","2021 September 27","Both sexes","Number","86"
"RIP.ie death notices","2021 September 28","Both sexes","Number","91"
"RIP.ie death notices","2021 September 29","Both sexes","Number","95"
"RIP.ie death notices","2021 September 30","Both sexes","Number","100"
"RIP.ie death notices","2021 October 01","Both sexes","Number","108"
"RIP.ie death notices","2021 October 02","Both sexes","Number","95"
"RIP.ie death notices","2021 October 03","Both sexes","Number","114"
"RIP.ie death notices","2021 October 04","Both sexes","Number","78"
"RIP.ie death notices","2021 October 05","Both sexes","Number","80"
"RIP.ie death notices","2021 October 06","Both sexes","Number","97"
"RIP.ie death notices","2021 October 07","Both sexes","Number","118"
"RIP.ie death notices","2021 October 08","Both sexes","Number","98"
"RIP.ie death notices","2021 October 09","Both sexes","Number","78"
"RIP.ie death notices","2021 October 10","Both sexes","Number","91"
"RIP.ie death notices","2021 October 11","Both sexes","Number","90"
"RIP.ie death notices","2021 October 12","Both sexes","Number","101"
"RIP.ie death notices","2021 October 13","Both sexes","Number","85"
"RIP.ie death notices","2021 October 14","Both sexes","Number","95"
"RIP.ie death notices","2021 October 15","Both sexes","Number","96"
"RIP.ie death notices","2021 October 16","Both sexes","Number","103"
"RIP.ie death notices","2021 October 17","Both sexes","Number","103"
"RIP.ie death notices","2021 October 18","Both sexes","Number","95"
"RIP.ie death notices","2021 October 19","Both sexes","Number","96"
"RIP.ie death notices","2021 October 20","Both sexes","Number","95"
"RIP.ie death notices","2021 October 21","Both sexes","Number","96"
"RIP.ie death notices","2021 October 22","Both sexes","Number","110"
"RIP.ie death notices","2021 October 23","Both sexes","Number","101"
"RIP.ie death notices","2021 October 24","Both sexes","Number","89"
"RIP.ie death notices","2021 October 25","Both sexes","Number","82"
"RIP.ie death notices","2021 October 26","Both sexes","Number","104"
"RIP.ie death notices","2021 October 27","Both sexes","Number","95"
"RIP.ie death notices","2021 October 28","Both sexes","Number","99"
"RIP.ie death notices","2021 October 29","Both sexes","Number","95"
"RIP.ie death notices","2021 October 30","Both sexes","Number","80"
"RIP.ie death notices","2021 October 31","Both sexes","Number","101"
"RIP.ie death notices","2021 November 01","Both sexes","Number","102"
"RIP.ie death notices","2021 November 02","Both sexes","Number","111"
"RIP.ie death notices","2021 November 03","Both sexes","Number","117"
"RIP.ie death notices","2021 November 04","Both sexes","Number","95"
"RIP.ie death notices","2021 November 05","Both sexes","Number","115"
"RIP.ie death notices","2021 November 06","Both sexes","Number","106"
"RIP.ie death notices","2021 November 07","Both sexes","Number","96"
"RIP.ie death notices","2021 November 08","Both sexes","Number","85"
"RIP.ie death notices","2021 November 09","Both sexes","Number","95"
"RIP.ie death notices","2021 November 10","Both sexes","Number","106"
"RIP.ie death notices","2021 November 11","Both sexes","Number","113"
"RIP.ie death notices","2021 November 12","Both sexes","Number","112"
"RIP.ie death notices","2021 November 13","Both sexes","Number","111"
"RIP.ie death notices","2021 November 14","Both sexes","Number","82"
"RIP.ie death notices","2021 November 15","Both sexes","Number","99"
"RIP.ie death notices","2021 November 16","Both sexes","Number","91"
"RIP.ie death notices","2021 November 17","Both sexes","Number","112"
"RIP.ie death notices","2021 November 18","Both sexes","Number","97"
"RIP.ie death notices","2021 November 19","Both sexes","Number","85"
"RIP.ie death notices","2021 November 20","Both sexes","Number","92"
"RIP.ie death notices","2021 November 21","Both sexes","Number","88"
"RIP.ie death notices","2021 November 22","Both sexes","Number","98"
"RIP.ie death notices","2021 November 23","Both sexes","Number","88"
"RIP.ie death notices","2021 November 24","Both sexes","Number","96"
"RIP.ie death notices","2021 November 25","Both sexes","Number","111"
"RIP.ie death notices","2021 November 26","Both sexes","Number","115"
"RIP.ie death notices","2021 November 27","Both sexes","Number","114"
"RIP.ie death notices","2021 November 28","Both sexes","Number","106"
"RIP.ie death notices","2021 November 29","Both sexes","Number","115"
"RIP.ie death notices","2021 November 30","Both sexes","Number","92"
"RIP.ie death notices","2021 December 01","Both sexes","Number","109"
"RIP.ie death notices","2021 December 02","Both sexes","Number","92"
"RIP.ie death notices","2021 December 03","Both sexes","Number","110"
"RIP.ie death notices","2021 December 04","Both sexes","Number","96"
"RIP.ie death notices","2021 December 05","Both sexes","Number","88"
"RIP.ie death notices","2021 December 06","Both sexes","Number","112"
"RIP.ie death notices","2021 December 07","Both sexes","Number","86"
"RIP.ie death notices","2021 December 08","Both sexes","Number","90"
"RIP.ie death notices","2021 December 09","Both sexes","Number","102"
"RIP.ie death notices","2021 December 10","Both sexes","Number","111"
"RIP.ie death notices","2021 December 11","Both sexes","Number","100"
"RIP.ie death notices","2021 December 12","Both sexes","Number","121"
"RIP.ie death notices","2021 December 13","Both sexes","Number","90"
"RIP.ie death notices","2021 December 14","Both sexes","Number","90"
"RIP.ie death notices","2021 December 15","Both sexes","Number","102"
"RIP.ie death notices","2021 December 16","Both sexes","Number","114"
"RIP.ie death notices","2021 December 17","Both sexes","Number","94"
"RIP.ie death notices","2021 December 18","Both sexes","Number","88"
"RIP.ie death notices","2021 December 19","Both sexes","Number","110"
"RIP.ie death notices","2021 December 20","Both sexes","Number","105"
"RIP.ie death notices","2021 December 21","Both sexes","Number","109"
"RIP.ie death notices","2021 December 22","Both sexes","Number","99"
"RIP.ie death notices","2021 December 23","Both sexes","Number","126"
"RIP.ie death notices","2021 December 24","Both sexes","Number","101"
"RIP.ie death notices","2021 December 25","Both sexes","Number","102"
"RIP.ie death notices","2021 December 26","Both sexes","Number","103"
"RIP.ie death notices","2021 December 27","Both sexes","Number","104"
"RIP.ie death notices","2021 December 28","Both sexes","Number","88"
"RIP.ie death notices","2021 December 29","Both sexes","Number","75"
"RIP.ie death notices","2021 December 30","Both sexes","Number","103"
"RIP.ie death notices","2021 December 31","Both sexes","Number","112"
"RIP.ie death notices","2022 January 01","Both sexes","Number","103"
"RIP.ie death notices","2022 January 02","Both sexes","Number","94"
