"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2020 April 13","Both sexes","Number","119"
"RIP.ie death notices","2020 April 14","Both sexes","Number","134"
"RIP.ie death notices","2020 April 15","Both sexes","Number","136"
"RIP.ie death notices","2020 April 16","Both sexes","Number","120"
"RIP.ie death notices","2020 April 17","Both sexes","Number","136"
"RIP.ie death notices","2020 April 18","Both sexes","Number","111"
"RIP.ie death notices","2020 April 19","Both sexes","Number","92"
"RIP.ie death notices","2020 April 20","Both sexes","Number","127"
"RIP.ie death notices","2020 April 21","Both sexes","Number","104"
"RIP.ie death notices","2020 April 22","Both sexes","Number","103"
"RIP.ie death notices","2020 April 23","Both sexes","Number","108"
"RIP.ie death notices","2020 April 24","Both sexes","Number","121"
"RIP.ie death notices","2020 April 25","Both sexes","Number","85"
"RIP.ie death notices","2020 April 26","Both sexes","Number","114"
"RIP.ie death notices","2020 April 27","Both sexes","Number","116"
"RIP.ie death notices","2020 April 28","Both sexes","Number","96"
"RIP.ie death notices","2020 April 29","Both sexes","Number","96"
"RIP.ie death notices","2020 April 30","Both sexes","Number","99"
"RIP.ie death notices","2020 May 01","Both sexes","Number","91"
"RIP.ie death notices","2020 May 02","Both sexes","Number","105"
"RIP.ie death notices","2020 May 03","Both sexes","Number","93"
"RIP.ie death notices","2020 May 04","Both sexes","Number","92"
"RIP.ie death notices","2020 May 05","Both sexes","Number","88"
"RIP.ie death notices","2020 May 06","Both sexes","Number","106"
"RIP.ie death notices","2020 May 07","Both sexes","Number","96"
"RIP.ie death notices","2020 May 08","Both sexes","Number","96"
"RIP.ie death notices","2020 May 09","Both sexes","Number","97"
"RIP.ie death notices","2020 May 10","Both sexes","Number","79"
"RIP.ie death notices","2020 May 11","Both sexes","Number","73"
"RIP.ie death notices","2020 May 12","Both sexes","Number","78"
"RIP.ie death notices","2020 May 13","Both sexes","Number","95"
"RIP.ie death notices","2020 May 14","Both sexes","Number","93"
"RIP.ie death notices","2020 May 15","Both sexes","Number","90"
"RIP.ie death notices","2020 May 16","Both sexes","Number","86"
"RIP.ie death notices","2020 May 17","Both sexes","Number","90"
"RIP.ie death notices","2020 May 18","Both sexes","Number","86"
"RIP.ie death notices","2020 May 19","Both sexes","Number","87"
"RIP.ie death notices","2020 May 20","Both sexes","Number","73"
"RIP.ie death notices","2020 May 21","Both sexes","Number","71"
"RIP.ie death notices","2020 May 22","Both sexes","Number","70"
"RIP.ie death notices","2020 May 23","Both sexes","Number","82"
"RIP.ie death notices","2020 May 24","Both sexes","Number","80"
"RIP.ie death notices","2020 May 25","Both sexes","Number","91"
"RIP.ie death notices","2020 May 26","Both sexes","Number","87"
"RIP.ie death notices","2020 May 27","Both sexes","Number","67"
"RIP.ie death notices","2020 May 28","Both sexes","Number","75"
"RIP.ie death notices","2020 May 29","Both sexes","Number","93"
"RIP.ie death notices","2020 May 30","Both sexes","Number","86"
"RIP.ie death notices","2020 May 31","Both sexes","Number","76"
"RIP.ie death notices","2020 June 01","Both sexes","Number","86"
"RIP.ie death notices","2020 June 02","Both sexes","Number","81"
"RIP.ie death notices","2020 June 03","Both sexes","Number","68"
"RIP.ie death notices","2020 June 04","Both sexes","Number","67"
"RIP.ie death notices","2020 June 05","Both sexes","Number","69"
"RIP.ie death notices","2020 June 06","Both sexes","Number","72"
"RIP.ie death notices","2020 June 07","Both sexes","Number","77"
"RIP.ie death notices","2020 June 08","Both sexes","Number","81"
"RIP.ie death notices","2020 June 09","Both sexes","Number","76"
"RIP.ie death notices","2020 June 10","Both sexes","Number","79"
"RIP.ie death notices","2020 June 11","Both sexes","Number","57"
