Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    02,  07,      2.903,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160207_f17_nrt_s.bin
2016,    02,  08,      2.816,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160208_f17_nrt_s.bin
2016,    02,  09,      2.773,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160209_f17_nrt_s.bin
2016,    02,  10,      2.752,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160210_f17_nrt_s.bin
2016,    02,  11,      2.746,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160211_f17_nrt_s.bin
2016,    02,  12,      2.726,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160212_f17_nrt_s.bin
2016,    02,  13,      2.722,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160213_f17_nrt_s.bin
2016,    02,  14,      2.644,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160214_f17_nrt_s.bin
2016,    02,  15,      2.593,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160215_f17_nrt_s.bin
2016,    02,  16,      2.612,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160216_f17_nrt_s.bin
2016,    02,  17,      2.578,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160217_f17_nrt_s.bin
2016,    02,  18,      2.607,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160218_f17_nrt_s.bin
2016,    02,  19,      2.624,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160219_f17_nrt_s.bin
2016,    02,  20,      2.700,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160220_f17_nrt_s.bin
2016,    02,  21,      2.743,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160221_f17_nrt_s.bin
2016,    02,  22,      2.724,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160222_f17_nrt_s.bin
2016,    02,  23,      2.759,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160223_f17_nrt_s.bin
2016,    02,  24,      2.735,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160224_f17_nrt_s.bin
2016,    02,  25,      2.736,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160225_f17_nrt_s.bin
2016,    02,  26,      2.732,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160226_f17_nrt_s.bin
2016,    02,  27,      2.735,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160227_f17_nrt_s.bin
2016,    02,  28,      2.748,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160228_f17_nrt_s.bin
2016,    02,  29,      2.777,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160229_f17_nrt_s.bin
2016,    03,  01,      2.839,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160301_f17_nrt_s.bin
2016,    03,  02,      2.864,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160302_f17_nrt_s.bin
2016,    03,  03,      2.918,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160303_f17_nrt_s.bin
2016,    03,  04,      2.951,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160304_f17_nrt_s.bin
2016,    03,  05,      2.995,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160305_f17_nrt_s.bin
2016,    03,  06,      3.033,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160306_f17_nrt_s.bin
2016,    03,  07,      3.097,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160307_f17_nrt_s.bin
2016,    03,  08,      3.151,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160308_f17_nrt_s.bin
2016,    03,  09,      3.245,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160309_f17_nrt_s.bin
2016,    03,  10,      3.281,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/south/nt_20160310_f17_nrt_s.bin
