Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID
2020/06/01 11:00:00+00,121621,346910,225289,28026,8.1,2285,24309,432,1.8,76
2020/06/02 11:00:00+00,122896,348737,225841,28050,8,1827,22621,389,1.7,77
2020/06/03 11:00:00+00,124883,351223,226340,28090,8,2486,21670,362,1.7,78
2020/06/04 11:00:00+00,127063,354322,227259,28123,7.9,3099,20958,351,1.7,79
2020/06/05 11:00:00+00,129045,357556,228511,28159,7.9,3234,19828,315,1.6,80
2020/06/06 11:00:00+00,130834,360662,229828,28186,7.8,3106,19511,272,1.4,81
2020/06/07 11:00:00+00,132243,363490,231247,28207,7.8,2828,18865,223,1.2,82
2020/06/08 11:00:00+00,133454,365450,231996,28216,7.7,1960,18540,190,1,83
2020/06/09 11:00:00+00,135304,367805,232501,28235,7.7,2355,19068,185,1,84
2020/06/10 11:00:00+00,137339,370297,232958,28254,7.6,2492,19074,164,0.9,85
2020/06/11 11:00:00+00,139592,374537,234945,28283,7.6,4240,20215,160,0.8,86
2020/06/12 11:00:00+00,141410,377546,236136,28327,7.5,3009,19990,168,0.8,87
2020/06/13 11:00:00+00,143094,380258,237164,28343,7.5,2712,19596,157,0.8,88
2020/06/14 11:00:00+00,144433,382770,238337,28356,7.4,2512,19280,149,0.8,89
2020/06/15 11:00:00+00,145521,384484,238963,28377,7.4,1714,19034,161,0.8,90
2020/06/16 11:00:00+00,147409,386596,239187,28382,7.3,2112,18791,147,0.8,91
2020/06/17 11:00:00+00,149697,390016,240319,28404,7.3,3420,19719,150,0.8,92
2020/06/18 11:00:00+00,151763,393375,241612,28417,7.2,3359,18838,134,0.7,93
2020/06/19 11:00:00+00,153842,396536,242694,28446,7.2,3161,18990,119,0.6,94
2020/06/20 11:00:00+00,155458,399260,243802,28460,7.1,2724,19002,117,0.6,95
2020/06/21 11:00:00+00,156758,401419,244661,28469,7.1,2159,18649,113,0.6,96
2020/06/22 11:00:00+00,157896,402917,245021,28475,7.1,1498,18433,98,0.5,97
2020/06/23 11:00:00+00,159877,405033,245156,28481,7,2116,18437,99,0.5,98
2020/06/24 11:00:00+00,162099,408285,246186,28503,7,3252,18269,99,0.5,99
2020/06/25 11:00:00+00,164274,411268,246994,28515,6.9,2983,17893,98,0.5,100
2020/06/26 11:00:00+00,166060,414957,248897,28552,6.9,3689,18421,106,0.6,101
2020/06/27 11:00:00+00,167853,418964,251111,28556,6.8,4007,19704,96,0.5,102
2020/06/28 11:00:00+00,169193,421688,252495,28560,6.8,2724,20269,91,0.4,103
2020/06/29 11:00:00+00,170376,425028,254652,28588,6.7,3340,22111,113,0.5,104
2020/06/30 11:00:00+00,172516,429619,257103,28595,6.7,4591,24586,114,0.5,105
2020/07/01 11:00:00+00,175072,434170,259098,28617,6.6,4551,25885,114,0.4,106
2020/07/02 11:00:00+00,177612,437962,260350,28625,6.5,3792,26694,110,0.4,107
2020/07/03 11:00:00+00,179753,446011,266258,28635,6.4,8049,31054,83,0.3,108
2020/07/04 11:00:00+00,181842,454323,272481,28664,6.3,8312,35359,108,0.3,109
2020/07/05 11:00:00+00,183375,461323,277948,28672,6.2,7000,39635,112,0.3,110
2020/07/06 11:00:00+00,184756,467852,283096,28692,6.1,6529,42824,104,0.2,111
2020/07/07 11:00:00+00,187130,474013,286883,28703,6.1,6161,44394,108,0.2,112
2020/07/08 11:00:00+00,189905,478374,288469,28723,6,4361,44204,106,0.2,113
2020/07/09 11:00:00+00,192606,482319,289713,28750,6,3945,44357,125,0.3,114
2020/07/10 11:00:00+00,194739,491649,296910,28771,5.9,9330,45638,136,0.3,115
2020/07/11 11:00:00+00,196762,500578,303816,28812,5.8,8929,46255,148,0.3,116
2020/07/12 11:00:00+00,198300,509295,310995,28826,5.7,8717,47972,154,0.3,117
2020/07/13 11:00:00+00,199602,516959,317357,28845,5.6,7664,49107,153,0.3,118
2020/07/14 11:00:00+00,202139,523359,321220,28860,5.5,6400,49346,157,0.3,119
2020/07/15 11:00:00+00,205106,527746,322640,28877,5.5,4387,49372,154,0.3,120
2020/07/16 11:00:00+00,207613,532062,324449,28901,5.4,4316,49743,151,0.3,121
2020/07/17 11:00:00+00,209834,541574,331740,28927,5.3,9512,49925,156,0.3,122
2020/07/18 11:00:00+00,211982,550817,338835,28941,5.3,9243,50239,129,0.3,123
2020/07/19 11:00:00+00,213594,559447,345853,28954,5.2,8630,50152,128,0.3,124
2020/07/20 11:00:00+00,214940,567862,352922,28985,5.1,8415,50903,140,0.3,125
2020/07/21 11:00:00+00,217448,574536,357088,28998,5,6674,51177,138,0.3,126
2020/07/22 11:00:00+00,220263,579155,358892,29016,5,4619,51409,139,0.3,127
2020/07/23 11:00:00+00,222790,583222,360432,29028,5,4067,51160,127,0.2,128
2020/07/24 11:00:00+00,224979,592202,367223,29044,4.9,8980,50628,117,0.2,129
2020/07/25 11:00:00+00,227150,601090,373940,29075,4.8,8888,50273,134,0.3,130
2020/07/26 11:00:00+00,228716,609106,380390,29099,4.8,8016,49659,145,0.3,131
2020/07/27 11:00:00+00,230153,614910,384757,29129,4.7,5804,47048,144,0.3,132
2020/07/28 11:00:00+00,232495,619875,387380,29145,4.7,4965,45339,147,0.3,133
2020/07/29 11:00:00+00,235311,624615,389304,29191,4.7,4740,45460,175,0.4,134
2020/07/30 11:00:00+00,237823,628998,391175,29247,4.6,4383,45776,219,0.5,135
2020/07/31 11:00:00+00,239994,632854,392860,29276,4.6,3856,40652,232,0.6,136
2020/08/01 11:00:00+00,241748,636160,394412,29329,4.6,3306,35070,254,0.7,137
2020/08/02 11:00:00+00,243163,639291,396128,29383,4.6,3131,30185,284,0.9,138
