date,sex,year,deaths
2015-04-10,M,2015,48
2015-04-11,F,2015,31
2015-04-11,M,2015,41
2015-04-12,F,2015,45
2015-04-12,M,2015,54
2015-04-13,F,2015,39
2015-04-13,M,2015,38
2015-04-14,F,2015,47
2015-04-14,M,2015,33
2015-04-15,F,2015,38
2015-04-15,M,2015,40
2015-04-16,F,2015,48
2015-04-16,M,2015,33
2015-04-17,F,2015,41
2015-04-17,M,2015,31
2015-04-18,F,2015,42
2015-04-18,M,2015,41
2015-04-19,F,2015,38
2015-04-19,M,2015,36
2015-04-20,F,2015,43
2015-04-20,M,2015,44
2015-04-21,F,2015,39
2015-04-21,M,2015,30
2015-04-22,F,2015,39
2015-04-22,M,2015,40
2015-04-23,F,2015,36
2015-04-23,M,2015,42
2015-04-24,F,2015,46
2015-04-24,M,2015,31
2015-04-25,F,2015,40
2015-04-25,M,2015,41
2015-04-26,F,2015,41
2015-04-26,M,2015,43
2015-04-27,F,2015,42
2015-04-27,M,2015,29
2015-04-28,F,2015,33
2015-04-28,M,2015,35
2015-04-29,F,2015,32
2015-04-29,M,2015,39
2015-04-30,F,2015,39
2015-04-30,M,2015,48
2015-05-01,F,2015,38
2015-05-01,M,2015,45
2015-05-02,F,2015,42
2015-05-02,M,2015,39
2015-05-03,F,2015,48
2015-05-03,M,2015,34
2015-05-04,F,2015,40
2015-05-04,M,2015,55
2015-05-05,F,2015,47
2015-05-05,M,2015,33
2015-05-06,F,2015,32
2015-05-06,M,2015,37
2015-05-07,F,2015,42
2015-05-07,M,2015,32
2015-05-08,F,2015,32
2015-05-08,M,2015,35
2015-05-09,F,2015,43
2015-05-09,M,2015,51
2015-05-10,F,2015,35
2015-05-10,M,2015,40
2015-05-11,F,2015,36
2015-05-11,M,2015,52
2015-05-12,F,2015,49
2015-05-12,M,2015,42
2015-05-13,F,2015,30
2015-05-13,M,2015,43
2015-05-14,F,2015,37
2015-05-14,M,2015,46
2015-05-15,F,2015,40
2015-05-15,M,2015,48
2015-05-16,F,2015,44
2015-05-16,M,2015,45
2015-05-17,F,2015,43
2015-05-17,M,2015,28
2015-05-18,F,2015,47
2015-05-18,M,2015,37
2015-05-19,F,2015,38
2015-05-19,M,2015,25
2015-05-20,F,2015,37
2015-05-20,M,2015,32
2015-05-21,F,2015,34
2015-05-21,M,2015,44
2015-05-22,F,2015,31
2015-05-22,M,2015,45
2015-05-23,F,2015,41
2015-05-23,M,2015,47
2015-05-24,F,2015,46
2015-05-24,M,2015,33
2015-05-25,F,2015,32
2015-05-25,M,2015,48
2015-05-26,F,2015,31
2015-05-26,M,2015,49
2015-05-27,F,2015,43
2015-05-27,M,2015,48
2015-05-28,F,2015,33
2015-05-28,M,2015,31
2015-05-29,F,2015,37
2015-05-29,M,2015,35
2015-05-30,F,2015,35
2015-05-30,M,2015,33
2015-05-31,F,2015,33
2015-05-31,M,2015,42
2015-06-01,F,2015,26
2015-06-01,M,2015,38
2015-06-02,F,2015,37
2015-06-02,M,2015,44
2015-06-03,F,2015,39
2015-06-03,M,2015,34
2015-06-04,F,2015,31
2015-06-04,M,2015,33
2015-06-05,F,2015,35
2015-06-05,M,2015,35
2015-06-06,F,2015,31
2015-06-06,M,2015,37
2015-06-07,F,2015,32
2015-06-07,M,2015,37
2015-06-08,F,2015,47
2015-06-08,M,2015,29
