Name,Rank,Number of Births,year
Gerardine,252,11,1970
Justine,252,11,1970
Isobel,272,10,1970
Juliette,272,10,1970
Kerry,272,10,1970
Jillian,272,10,1970
Marianne,272,10,1970
Violet,272,10,1970
Carolyn,272,10,1970
Edwina,272,10,1970
Eimer,272,10,1970
Loretta,272,10,1970
Nicole,282,9,1970
Clara,282,9,1970
Stella,282,9,1970
Cynthia,282,9,1970
Hanora,282,9,1970
Susanna,282,9,1970
Beverley,282,9,1970
Ethel,282,9,1970
Loretto,282,9,1970
Lynne,282,9,1970
Mona,282,9,1970
Myra,282,9,1970
Shiela,282,9,1970
Triona,282,9,1970
Shona,296,8,1970
Lucia,296,8,1970
Claudia,296,8,1970
Orna,296,8,1970
Judy,296,8,1970
Brona,296,8,1970
Roberta,296,8,1970
Freda,296,8,1970
Noleen,296,8,1970
Rhonda,296,8,1970
Thelma,296,8,1970
Zoe,307,7,1970
Alexandra,307,7,1970
Alicia,307,7,1970
Nadine,307,7,1970
Erika,307,7,1970
Eilis,307,7,1970
Delia,307,7,1970
Gina,307,7,1970
Gwen,307,7,1970
Bernice,307,7,1970
Florence,307,7,1970
Abina,307,7,1970
Daphne,307,7,1970
Dervilla,307,7,1970
Hillary,307,7,1970
Liza,307,7,1970
Monique,307,7,1970
Trina,307,7,1970
Vera,307,7,1970
Amy,326,6,1970
Jessica,326,6,1970
Orlaith,326,6,1970
Dearbhla,326,6,1970
Lena,326,6,1970
Nina,326,6,1970
Blathnaid,326,6,1970
Juliet,326,6,1970
Cathy,326,6,1970
Genevieve,326,6,1970
Bronwyn,326,6,1970
Alva,326,6,1970
Antonia,326,6,1970
Derval,326,6,1970
Dora,326,6,1970
Penelope,326,6,1970
Edith,326,6,1970
Eunice,326,6,1970
Marlene,326,6,1970
Camilla,326,6,1970
Felicity,326,6,1970
Treasa,326,6,1970
Adeline,326,6,1970
Anastatia,326,6,1970
Averil,326,6,1970
Bairbre,326,6,1970
Carina,326,6,1970
Deborrah,326,6,1970
Dianne,326,6,1970
Dymphna,326,6,1970
Honora,326,6,1970
Jacintha,326,6,1970
Katriona,326,6,1970
Noirin,326,6,1970
Paulette,326,6,1970
Rowena,326,6,1970
Virginia,326,6,1970
Kate,363,5,1970
Caoimhe,363,5,1970
Sophia,363,5,1970
Isabel,363,5,1970
Muireann,363,5,1970
Ailbhe,363,5,1970
Sorcha,363,5,1970
Erica,363,5,1970
Lillian,363,5,1970
Adele,363,5,1970
Julianna,363,5,1970
Dervla,363,5,1970
Lilian,363,5,1970
Aedin,363,5,1970
Lavinia,363,5,1970
Bridie,363,5,1970
Cathleen,363,5,1970
Celene,363,5,1970
Cheryl,363,5,1970
Gertrude,363,5,1970
Helga,363,5,1970
Jenifer,363,5,1970
Katharine,363,5,1970
Rosarie,363,5,1970
Siobain,363,5,1970
Tania,363,5,1970
Yvette,363,5,1970
Corinna,363,5,1970
Corona,363,5,1970
Fionna,363,5,1970
Leone,363,5,1970
Rosanne,363,5,1970
Saundra,363,5,1970
Sophie,396,4,1970
Cara,396,4,1970
Lara,396,4,1970
Danielle,396,4,1970
Moya,396,4,1970
Cliodhna,396,4,1970
Matilda,396,4,1970
Heidi,396,4,1970
Kara,396,4,1970
Neasa,396,4,1970
Toni,396,4,1970
Angelina,396,4,1970
Pearl,396,4,1970
Iris,396,4,1970
Dana,396,4,1970
Cait,396,4,1970
Carmen,396,4,1970
Celina,396,4,1970
Dearbhail,396,4,1970
Elva,396,4,1970
Estelle,396,4,1970
Celia,396,4,1970
Maxine,396,4,1970
Sile,396,4,1970
Angeline,396,4,1970
Bronwen,396,4,1970
Clair,396,4,1970
Claudine,396,4,1970
Gretta,396,4,1970
Henrietta,396,4,1970
Inez,396,4,1970
Jeanne,396,4,1970
Karan,396,4,1970
Marilyn,396,4,1970
Noeline,396,4,1970
Olwen,396,4,1970
Priscilla,396,4,1970
Rena,396,4,1970
Sioban,396,4,1970
Breege,396,4,1970
Catheriona,396,4,1970
Davida,396,4,1970
Glenda,396,4,1970
Gwendolen,396,4,1970
Jeannette,396,4,1970
Katharina,396,4,1970
Naomh,396,4,1970
Petrina,396,4,1970
Phyllis,396,4,1970
Sheela,396,4,1970
Shinead,396,4,1970
Ella,447,3,1970
Leah,447,3,1970
Amelia,447,3,1970
Amber,447,3,1970
Eve,447,3,1970
Michaela,447,3,1970
Carla,447,3,1970
Elena,447,3,1970
Joy,447,3,1970
April,447,3,1970
Rosa,447,3,1970
Nancy,447,3,1970
Jayne,447,3,1970
Colleen,447,3,1970
Gloria,447,3,1970
Harriet,447,3,1970
Ailis,447,3,1970
Alexis,447,3,1970
Darragh,447,3,1970
Ide,447,3,1970
Jocelyn,447,3,1970
Vivien,447,3,1970
Adrianne,447,3,1970
Brighid,447,3,1970
Charmaine,447,3,1970
Debbie,447,3,1970
Dona,447,3,1970
Eavan,447,3,1970
Ethne,447,3,1970
Eveline,447,3,1970
Fionnula,447,3,1970
Ida,447,3,1970
Janine,447,3,1970
Karin,447,3,1970
Leonora,447,3,1970
Lucinda,447,3,1970
Mairin,447,3,1970
Marjorie,447,3,1970
Melinda,447,3,1970
Miranda,447,3,1970
Naimh,447,3,1970
Nollaig,447,3,1970
Rona,447,3,1970
Rosario,447,3,1970
Roslyn,447,3,1970
Zita,447,3,1970
Andrena,447,3,1970
Bernadine,447,3,1970
Breffni,447,3,1970
Briget,447,3,1970
Cathrina,447,3,1970
Cathrine,447,3,1970
Daragh,447,3,1970
Davnet,447,3,1970
Deidre,447,3,1970
Diann,447,3,1970
Grania,447,3,1970
Helan,447,3,1970
Johanne,447,3,1970
Juanita,447,3,1970
Katherina,447,3,1970
Loyola,447,3,1970
Maighread,447,3,1970
Marese,447,3,1970
Michell,447,3,1970
Tonya,447,3,1970
Treacy,447,3,1970
Yolanda,447,3,1970
Mary,1,1907,1971
Catherine,2,914,1971
Margaret,3,837,1971
Fiona,4,616,1971
Sinead,5,598,1971
Ann,6,582,1971
Elizabeth,7,579,1971
Sharon,8,570,1971
Anne,9,538,1971
Deirdre,10,535,1971
Caroline,11,484,1971
Patricia,12,467,1971
Michelle,13,434,1971
Sandra,14,422,1971
Siobhan,15,401,1971
Karen,16,354,1971
Linda,16,354,1971
Elaine,16,354,1971
Geraldine,19,349,1971
Bridget,20,348,1971
Martina,21,344,1971
Helen,22,339,1971
Susan,23,335,1971
Bernadette,24,302,1971
Maria,25,289,1971
Marie,26,271,1971
Lorraine,27,260,1971
Lisa,28,254,1971
Jennifer,29,251,1971
Yvonne,30,247,1971
Eileen,31,240,1971
Niamh,32,238,1971
Denise,33,233,1971
Sarah,34,229,1971
Carol,35,225,1971
Gillian,36,221,1971
Carmel,37,215,1971
Louise,38,214,1971
Orla,39,209,1971
Angela,39,209,1971
Jacqueline,39,209,1971
Teresa,42,207,1971
Rachel,43,200,1971
